step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,-1.23558628E3,4.07009459E4,5.80418536E3,1.56783116E3,-7.47196196E1,4.18576288E2
2,1.25340604E-4,-1.42711724E3,-7.29294348E3,9.04342079E3,4.29483986E2,-2.42223264E2,4.12030935E1
3,1.88010920E-4,-2.50890852E3,2.05396605E4,7.26565408E3,1.96370640E3,1.59409656E1,4.74744936E2
4,2.50681208E-4,-2.12459588E3,4.78297376E4,1.56706788E3,2.61607192E3,2.62275100E2,7.60617304E2
5,3.13351512E-4,-1.36435376E3,2.86911224E4,5.14376974E3,1.72687664E3,8.01292229,4.95542768E2
6,3.76021840E-4,-2.05720496E3,6.68222424E3,1.21203936E4,1.29538894E3,-2.43691732E2,2.53724076E2
7,4.38692140E-4,-2.59661864E3,1.97396720E4,8.20224286E3,1.70967712E3,3.15607882E1,3.81565216E2
8,5.01362419E-4,-1.56171120E3,3.11405087E4,-6.06496001E2,1.58267488E3,2.58487080E2,4.14501095E2
9,5.64032744E-4,-1.25334870E3,1.45197260E4,1.20688986E3,1.02982521E3,2.75469064E1,2.42960572E2
10,6.26703024E-4,-1.97268608E3,2.87745168E3,8.05917168E3,1.01424491E3,-1.48211228E2,1.97026256E2
11,6.89373352E-4,-1.42723800E3,1.61437428E4,6.23341132E3,1.16883088E3,-2.37496544E1,2.44020104E2
12,7.52043676E-4,-2.25554896E1,2.66894700E4,1.26848412E3,9.45667552E2,4.39244748E1,1.45648848E2
13,8.14713955E-4,2.57850172E1,1.28398454E4,2.72315264E3,3.92206720E2,-6.95948264E1,-5.55217124E1
14,8.77384280E-4,-1.24883974E3,-1.00621498E3,5.31792450E3,4.00648832E1,-7.66012716E1,-7.80747840E1
15,9.40054512E-4,-1.70848216E3,8.21702194E3,2.39029480E3,2.85931824E2,8.06718350E1,9.45892908E1
16,1.00272489E-3,-1.02268982E3,1.96853496E4,-3.86159872E2,6.99430088E2,1.13789165E2,1.75392880E2
17,1.06539512E-3,-8.21408940E2,1.08783412E4,3.52610900E3,6.49481536E2,-5.65956164E1,6.38575792E1
18,1.12806547E-3,-1.09891176E3,-5.82036352E2,6.90774776E3,2.14143610E2,-1.52554320E2,-3.27312208E1
19,1.19073570E-3,-7.18084288E2,7.79338600E3,2.50572656E3,1.20588518E2,-3.87883568E1,4.46577548E1
20,1.25340604E-3,-1.96231840E2,1.81847728E4,-1.50708772E3,4.89882752E2,5.89741088E1,1.36719920E2
21,1.31607640E-3,-9.34420396E2,9.04375172E3,2.95595216E3,6.86242768E2,-2.20113540E1,1.28474092E2
22,1.37874664E-3,-1.91393336E3,-3.43104148E2,7.94006824E3,6.26081514E2,-1.24020362E2,1.39901316E2
23,1.44141696E-3,-1.32088554E3,9.58581732E3,4.59225132E3,6.97043992E2,-6.20884656E1,2.18798686E2
24,1.50408732E-3,-4.89976120E2,1.91594192E4,-1.42009080E2,7.95502472E2,6.38591908E1,2.43069460E2
25,1.56675756E-3,-9.32292366E2,8.43729876E3,2.82656816E3,6.43356656E2,3.61282968E1,1.62780284E2
26,1.62942780E-3,-1.49755432E3,-2.51003216E3,6.84314200E3,5.14505959E2,-7.30109740E1,1.12378466E2
27,1.69209824E-3,-1.19840288E3,7.93936680E3,3.80068704E3,7.56198788E2,-4.53808688E1,1.97879448E2
28,1.75476848E-3,-7.19269658E2,1.87341168E4,1.28429330E2,9.75982952E2,2.25259710E1,2.53465224E2
29,1.81743888E-3,-7.91698648E2,7.41425560E3,3.01327086E3,7.26937438E2,-5.40573452E1,1.62751556E2
30,1.88010904E-3,-9.89398576E2,-4.45865012E3,5.83731224E3,4.09315443E2,-1.01114094E2,6.66914988E1
31,1.94277944E-3,-6.97886848E2,5.05082321E3,2.11625004E3,4.60435248E2,2.73911168E1,8.97564600E1
32,2.00544977E-3,-4.70612624E2,1.53475248E4,-1.16199744E3,5.76988552E2,9.17290020E1,1.35395968E2
33,2.06812001E-3,-6.91028120E2,5.13597250E3,2.32120944E3,4.13624954E2,-5.42904664E1,1.03884614E2
34,2.13079023E-3,-7.00342560E2,-5.85918712E3,5.22211266E3,1.99040064E2,-1.44174660E2,3.77216312E1
35,2.19346070E-3,-2.36451960E2,2.96731136E3,1.34017576E3,2.15275359E2,-5.68614480,9.59457968
36,2.25613094E-3,-1.51488508E1,1.27109766E4,-2.16085124E3,2.61056900E2,9.46503256E1,1.90047264E1
37,2.31880140E-3,-3.16021299E2,3.55158496E3,1.06415391E3,9.94824696E1,-2.91369344E1,2.70717904E1
38,2.38147140E-3,-5.44087744E2,-6.07062102E3,4.31911468E3,-3.43830560E1,-1.38889660E2,1.13524616E1
39,2.44414188E-3,-3.27633834E2,2.80052904E3,1.24316204E3,1.12153077E2,-4.17653036E1,1.00854313E1
40,2.50681208E-3,-8.59491636E1,1.18985236E4,-2.05987144E3,2.53722240E2,7.08375931E1,2.48850704E1
41,2.56948232E-3,-1.65635980E2,2.65135956E3,6.23144006E2,9.52667140E1,1.10264993E1,4.94035816
42,2.63215280E-3,-3.98006984E2,-6.48044968E3,3.66306996E3,-4.72416064E1,-8.31834220E1,-5.49127244
43,2.69482328E-3,-4.12893343E2,2.74308392E3,1.08706820E3,1.58554268E2,-4.34803724E1,4.83014056E1
44,2.75749328E-3,-2.40721988E2,1.22470248E4,-1.79966416E3,3.83381488E2,3.39158748E1,8.89779184E1
45,2.82016376E-3,-2.89575360E2,3.62952424E3,8.78760432E2,2.57276104E2,-1.75093200,5.08575964E1
46,2.88283392E-3,-4.25871992E2,-5.61205912E3,3.67785384E3,9.14305496E1,-6.78386784E1,8.67131136
47,2.94550440E-3,-2.76602384E2,2.86896944E3,7.89550400E2,2.64458896E2,-2.48061492E1,4.82106160E1
48,3.00817466E-3,-1.27813470E2,1.19387568E4,-2.11520123E3,4.61269188E2,3.47961164E1,9.62709332E1
49,3.07084465E-3,-2.59100700E2,3.43048788E3,7.83076624E2,3.08696747E2,-2.68459776E1,6.70842456E1
50,3.13351512E-3,-3.62113572E2,-5.44337368E3,3.74366496E3,1.19949604E2,-8.49585056E1,2.55504512E1
51,3.19618558E-3,-1.27910232E2,2.82591680E3,7.76835728E2,2.34919692E2,-1.34249200E1,4.49418688E1
52,3.25885558E-3,6.88072536E1,1.11695099E4,-2.38729836E3,3.72395112E2,4.51765632E1,6.63617468E1
53,3.32152606E-3,-1.50599360E2,2.46405672E3,3.77181528E2,2.35449316E2,-3.32991958E1,3.95125128E1
54,3.38419652E-3,-3.27673292E2,-6.22754050E3,3.38836288E3,6.65420152E1,-1.02628434E2,1.23244298E1
55,3.44686700E-3,-5.41118144E1,2.04961372E3,5.40573644E2,1.20765222E2,-3.07237220E1,2.11952305E1
56,3.50953700E-3,2.16045594E2,1.03033805E4,-2.52921056E3,1.93534328E2,4.49820472E1,2.33730648E1
57,3.57220744E-3,3.51657484E1,1.61233712E3,1.35234688E2,6.91060592E1,-1.67706736E1,-1.06583488E1
58,3.63487768E-3,-2.11649084E2,-6.97779416E3,2.98251816E3,-5.44498492E1,-8.34906864E1,-2.59553124E1
59,3.69754792E-3,-1.63357244E1,1.27911806E3,2.69913864E2,3.18744468E1,-2.91419080E1,5.45353508
60,3.76021816E-3,1.98040568E2,9.61714268E3,-2.49917008E3,1.32935738E2,3.41446044E1,2.09568095E1
61,3.82288840E-3,-4.89025304E1,1.42905104E3,2.09867024E2,3.88324240E1,-1.00551307E1,-5.87614824
62,3.88555888E-3,-2.60018636E2,-6.76968096E3,2.98286744E3,-6.85423280E1,-6.10568857E1,-2.81460144E1
63,3.94822928E-3,7.46432924,1.26639688E3,3.81201720E2,3.65275168E1,-1.03196132E1,-1.00815713E1
64,4.01089954E-3,2.29924178E2,9.35430812E3,-2.30591274E3,1.80016336E2,3.82441304E1,2.25744414E1
65,4.07356930E-3,-8.29128360E1,1.59222640E3,3.74280360E2,1.34546352E2,-1.90528832E1,2.84832048E1
66,4.13624001E-3,-3.83602216E2,-6.16860246E3,3.17835308E3,5.12049675E1,-6.30443526E1,1.61224236E1
67,4.19891024E-3,-1.16172862E2,1.57959212E3,6.58113100E2,1.44785632E2,2.98546408,1.61211872E1
68,4.26158046E-3,1.67455616E2,9.45263576E3,-2.02291131E3,2.70255040E2,6.31180192E1,2.95327088E1
69,4.32425070E-3,-1.05158854E2,2.01228285E3,5.21747780E2,2.16455770E2,1.20043528,4.44802380E1
70,4.38692140E-3,-3.90591144E2,-5.61400604E3,3.22815966E3,1.30968452E2,-6.84106160E1,5.04427481E1
71,4.44959164E-3,-1.42945312E2,1.82469448E3,7.53850316E2,2.26119876E2,-1.52892816E1,5.40933036E1
72,4.51226188E-3,1.38958548E2,9.47382164E3,-1.97516904E3,3.27708340E2,5.30075026E1,5.23713398E1
73,4.57493208E-3,-7.73133184E1,2.18316508E3,3.70300416E2,2.19910908E2,1.19464052E1,4.15309238E1
74,4.63760280E-3,-2.98743344E2,-5.33037042E3,2.94476888E3,1.01284170E2,-4.29541254E1,3.63969540E1
75,4.70027256E-3,-4.65093184E1,1.84854568E3,4.96717360E2,1.97648576E2,-7.90989352,5.25713492E1
76,4.76294280E-3,2.03606820E2,9.24616528E3,-2.17032886E3,2.96882888E2,3.75961992E1,6.18023158E1
77,4.82561352E-3,-1.53912364E1,1.95732296E3,8.59728624E1,1.66995096E2,7.83836888E-1,3.79684136E1
78,4.88828376E-3,-2.18313670E2,-5.54800940E3,2.49638988E3,2.28131724E1,-3.74458168E1,1.09889686E1
79,4.95095400E-3,4.62129260E1,1.54080904E3,6.04520464E1,1.06503546E2,4.93087960,2.14961576E1
80,5.01362419E-3,3.05878115E2,8.87576584E3,-2.46298860E3,2.06951952E2,4.06728077E1,3.63938500E1
81,5.07629442E-3,7.40339612E1,1.69007680E3,-1.48915256E2,9.53915308E1,-6.92608544,1.93488144E1
82,5.13896465E-3,-1.82022008E2,-5.67024900E3,2.23989892E3,-2.81799296E1,-3.90241552E1,-2.04887176
83,5.20163536E-3,4.02356768E1,1.38471924E3,-1.73144816E2,5.56065608E1,1.46914424E1,6.73021320
84,5.26430560E-3,2.99653672E2,8.63498592E3,-2.63767480E3,1.53739272E2,5.69925640E1,1.30411494E1
85,5.32697630E-3,9.10620403E1,1.60425116E3,-2.77473472E2,6.62004184E1,3.69865752,-7.70653960E-1
86,5.38964652E-3,-1.52820204E2,-5.48486568E3,2.19701648E3,-2.10853195E1,-4.48587608E1,2.43130660E-2
87,5.45231628E-3,6.12973690E1,1.54831696E3,-1.13612008E2,7.14139032E1,4.52946568,1.85266456E1
88,5.51498652E-3,2.99258896E2,8.61232664E3,-2.54504608E3,1.64401436E2,5.58883812E1,1.52705752E1
89,5.57765676E-3,7.28673554E1,1.67355976E3,-2.32291936E2,9.49477672E1,1.05781198E1,-1.27437722
90,5.64032744E-3,-1.78556720E2,-5.23029662E3,2.23793388E3,2.48851992E1,-3.63805628E1,4.93372680
91,5.70299720E-3,3.37190820E1,1.71580064E3,3.33321738E1,1.13804042E2,4.64214800,2.81148216E1
92,5.76566792E-3,2.67681912E2,8.64196300E3,-2.32599234E3,2.02149582E2,4.73232464E1,3.43201040E1
93,5.82833816E-3,5.73214576E1,1.81631168E3,-8.38027380E1,1.31053054E2,2.07874799,2.24257826E1
94,5.89100888E-3,-1.76010952E2,-5.02944279E3,2.29272342E3,5.08475447E1,-3.80518696E1,1.55043148E1
95,5.95367912E-3,1.86824000E1,1.66085304E3,1.08190978E2,1.27491128E2,7.30370950,2.36255812E1
96,6.01634932E-3,2.30579448E2,8.44270612E3,-2.19325804E3,2.13856578E2,4.41917324E1,3.29749418E1
97,6.07901955E-3,3.44258808E1,1.84318720E3,2.29188060,1.38060008E2,-6.83045008,3.27218366E1
98,6.14168930E-3,-1.84481368E2,-4.92212344E3,2.28130102E3,3.84852192E1,-4.42799424E1,2.26028538E1
99,6.20436000E-3,1.75578144E1,1.47222484E3,7.29710102E1,1.00044930E2,4.74681712,1.50859080E1
100,6.26703024E-3,2.42431952E2,8.08656502E3,-2.23003458E3,1.83164672E2,4.60529852E1,1.61849200E1
101,6.32970094E-3,4.39936924E1,1.66479576E3,-1.00330472E2,1.00722206E2,1.21416020,1.72227480E1
102,6.39237116E-3,-1.75637904E2,-4.97462032E3,2.13610578E3,-4.28058862,-4.20204068E1,1.21928274E1
103,6.45504092E-3,3.87026192E1,1.29388916E3,4.44189928,6.51923848E1,-4.46003104,1.01129830E1
104,6.51771116E-3,2.72996976E2,7.80571080E3,-2.25562072E3,1.51544344E2,3.88695192E1,6.57584476
105,6.58038188E-3,6.56007100E1,1.49989928E3,-2.16744757E2,6.40446948E1,7.49115084,-2.52166440
106,6.64305212E-3,-1.76947200E2,-4.98095464E3,1.96774768E3,-3.32164264E1,-2.95491768E1,-4.13660336
107,6.70572232E-3,2.56192184E1,1.29267406E3,-5.77375840E1,5.54793500E1,-8.11413860E-1,7.66990948
108,6.76839304E-3,2.59068776E2,7.78984544E3,-2.23024536E3,1.50030948E2,3.39079548E1,1.27122974E1
109,6.83106328E-3,5.78724480E1,1.57828508E3,-2.36126400E2,6.73690792E1,3.32911850,2.21911860
110,6.89373400E-3,-1.70840392E2,-4.81536528E3,1.89673672E3,-1.90122416E1,-2.64064740E1,-2.07853270
111,6.95640376E-3,1.69609584E1,1.42784120E3,-9.68616392E1,7.09373856E1,1.10107946E1,8.57670976
112,7.01907396E-3,2.33336830E2,7.88672256E3,-2.20083498E3,1.68352840E2,4.15010262E1,1.65830420E1
113,7.08174420E-3,4.58642292E1,1.79561576E3,-1.73476752E2,1.02318680E2,-4.00395632,1.68470024E1
114,7.14441490E-3,-1.70889744E2,-4.48889304E3,1.94880584E3,2.24795794E1,-3.78205112E1,1.66269268E1
115,7.20708466E-3,5.16973162,1.63090312E3,-4.23890590E1,9.73721504E1,7.28550100,1.83476248E1
116,7.26975536E-3,2.12128997E2,7.90973424E3,-2.13181639E3,1.82946232E2,4.43674232E1,1.83794520E1
117,7.33242560E-3,3.19178462E1,1.87134584E3,-1.21925234E2,1.24882806E2,1.94006896E-1,2.06387687E1
118,7.39509584E-3,-1.79905512E2,-4.27732516E3,1.99270976E3,5.01928043E1,-3.95909360E1,2.50032832E1
119,7.45776604E-3,-7.98747112,1.75247976E3,4.14103317E1,1.12797034E2,-1.25526750,2.57489108E1
120,7.52043628E-3,1.97687280E2,7.84907528E3,-2.04105759E3,1.86347648E2,3.75140264E1,2.00241542E1
121,7.58310700E-3,3.11299205E1,1.82874584E3,-1.10995102E2,1.26532484E2,3.97943088,1.65526508E1
122,7.64577676E-3,-1.75734248E2,-4.23766946E3,1.95231760E3,4.98847912E1,-2.96518496E1,1.76165584E1
123,7.70844744E-3,-7.40584756,1.67402552E3,6.24061346E1,1.04847896E2,1.20003808,2.05329991E1
124,7.77111768E-3,1.93686032E2,7.65281440E3,-1.95653952E3,1.73070416E2,3.20135928E1,2.06768275E1
125,7.83378840E-3,3.01009655E1,1.74853936E3,-7.98867368E1,1.11071396E2,2.27248668E-1,1.70250384E1
126,7.89645864E-3,-1.65856792E2,-4.24746608E3,1.90347704E3,3.11218882E1,-2.92683960E1,1.12058878E1
127,7.95912840E-3,1.76565632,1.50909044E3,4.47062540E1,8.76898192E1,4.13666058,9.53075980
128,8.02179909E-3,1.91548216E2,7.41725684E3,-1.90816464E3,1.61472488E2,3.53512240E1,1.34056712E1
129,8.08446980E-3,2.66079832E1,1.70042456E3,-3.43109440E1,1.00722039E2,-6.10936451E-1,1.76600192E1
130,8.14713860E-3,-1.62589180E2,-4.15758467E3,1.93515936E3,2.39201044E1,-3.46803140E1,1.59992100E1
131,8.20980930E-3,4.39364576,1.47457468E3,1.14283133E2,8.80827904E1,-1.88814904E-1,1.09033012E1
132,8.27248002E-3,1.85876144E2,7.27658988E3,-1.81187616E3,1.65730476E2,3.67944072E1,8.54171848
133,8.33515072E-3,1.21621216E1,1.70623304E3,3.00963306E1,1.07238388E2,3.38568164,1.42055692E1
134,8.39782048E-3,-1.87124744E2,-4.00562620E3,1.99856376E3,3.94839976E1,-3.34750104E1,2.29376196E1
135,8.46049120E-3,-2.72934320E1,1.57034256E3,2.42750240E2,1.11697924E2,-3.98236800,2.33671688E1
136,8.52316092E-3,1.63823844E2,7.30864192E3,-1.64929736E3,1.88653912E2,3.01128364E1,1.73115576E1
137,8.58583260E-3,1.28684974E-1,1.80533912E3,1.36545156E2,1.29664194E2,1.27982522,1.69878312E1
138,8.64850140E-3,-2.01589274E2,-3.84092952E3,2.04758358E3,6.58071612E1,-2.85084776E1,2.49711968E1
139,8.71117208E-3,-5.06622935E1,1.68368856E3,3.19824672E2,1.36489808E2,-4.94220160E-1,2.91017888E1
140,8.77384280E-3,1.38219072E2,7.36499168E3,-1.52194536E3,2.08320976E2,2.64954448E1,2.66457724E1
141,8.83651256E-3,-1.84326040E1,1.90692104E3,2.35931612E2,1.48172296E2,-4.26914168,2.60527372E1
142,8.89918328E-3,-2.18192982E2,-3.71212312E3,2.08183456E3,8.09131145E1,-2.91290376E1,2.81954792E1
143,8.96185304E-3,-7.66383600E1,1.71507072E3,3.36697960E2,1.40169692E2,4.08537483,2.60777520E1
144,9.02452374E-3,1.07248390E2,7.31379842E3,-1.49173020E3,2.05155278E2,2.97943688E1,2.39261268E1
145,9.08719349E-3,-4.13188982E1,1.92281624E3,2.50100208E2,1.48286904E2,-5.07438278,2.80099656E1
146,9.14986420E-3,-2.32581758E2,-3.62480472E3,2.06563211E3,7.84514472E1,-3.21190118E1,3.15826869E1
147,9.21253490E-3,-9.44258784E1,1.70949104E3,3.24760128E2,1.23899078E2,1.36929776,2.50045276E1
148,9.27520562E-3,8.21326732E1,7.19188834E3,-1.51186788E3,1.81073664E2,3.16600204E1,1.72453784E1
149,9.33787536E-3,-6.64714576E1,1.86520192E3,1.68384472E2,1.27488590E2,2.27226234E-1,1.97690904E1
150,9.40054512E-3,-2.49408032E2,-3.57123064E3,1.95429424E3,5.96441792E1,-3.14566135E1,2.55614664E1
151,9.46321584E-3,-1.07766438E2,1.70841584E3,2.61024308E2,1.01645696E2,-3.36391376,2.23721934E1
152,9.52588560E-3,6.17250634E1,7.09920120E3,-1.54268848E3,1.58230160E2,2.75703024E1,1.51170624E1
153,9.58855628E-3,-8.36708736E1,1.84601152E3,9.59478952E1,1.07860375E2,9.83335208E-1,1.43795480E1
154,9.65122700E-3,-2.52692316E2,-3.49860120E3,1.84768928E3,4.30535460E1,-2.74568200E1,1.80660344E1
155,9.71389768E-3,-1.03351152E2,1.71324376E3,2.01657820E2,8.96121880E1,-2.08229900,1.73863832E1
156,9.77656744E-3,6.39307548E1,7.05165720E3,-1.54678880E3,1.52599548E2,2.43939996E1,1.48551784E1
157,9.83923816E-3,-7.58883764E1,1.91476096E3,7.29246664E1,1.05273056E2,-3.90634752,1.69961824E1
