step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.70574000E3,6.33616256E4,-5.65865088E3,2.12005782E3,-5.04823017E1,2.10059810E3
2,1.25340604E-4,5.69994688E3,-1.46315384E4,-5.82273152E3,5.69916248E2,-8.66473864E1,4.10487080E2
3,1.88010920E-4,1.19124580E4,2.39020324E4,-1.18806434E4,2.59659124E3,-8.63238812E1,2.45732952E3
4,2.50681208E-4,1.25043870E4,7.31643200E4,-1.24290872E4,3.53320120E3,-4.70994184E1,3.58577156E3
5,3.13351512E-4,1.05888772E4,5.04474879E4,-1.09327936E4,2.34484364E3,-8.93391320E1,2.40351916E3
6,3.76021840E-4,8.03653526E3,8.32214928E3,-8.59462928E3,1.34170760E3,-1.24047626E2,1.17744278E3
7,4.38692140E-4,6.07954788E3,2.13754249E4,-6.35243512E3,2.00921750E3,-6.06745863E1,1.78796088E3
8,5.01362419E-4,7.76105264E3,4.65459488E4,-7.99133680E3,2.72613672E3,-4.61493540E1,2.67099740E3
9,5.64032744E-4,1.11560249E4,2.91927576E4,-1.17094696E4,1.91890832E3,-1.41652692E2,1.89124736E3
10,6.26703024E-4,1.11116612E4,9.99491880E3,-1.16851842E4,1.28863704E3,-1.68818688E2,1.12932718E3
11,6.89373352E-4,6.08189345E3,2.48337768E4,-6.26127530E3,1.90431680E3,-7.22087240E1,1.71414504E3
12,7.52043676E-4,3.26518178E3,4.07381487E4,-3.20101666E3,2.34460308E3,-4.42062284E1,2.18395304E3
13,8.14713955E-4,6.43741320E3,2.30194974E4,-6.47178792E3,1.49421536E3,-1.44911528E2,1.30932284E3
14,8.77384280E-4,7.58897352E3,2.19767094E3,-7.69249296E3,3.23108506E2,-1.61393952E2,1.87987808E2
15,9.40054512E-4,3.91000864E3,1.46496452E4,-3.96114656E3,5.17494298E2,-4.96624896E1,4.82102200E2
16,1.00272489E-3,1.85464248E3,3.10352492E4,-1.93999032E3,1.32478750E3,-1.02231646E1,1.25774466E3
17,1.06539512E-3,3.79044608E3,1.55776440E4,-4.00159359E3,8.79727552E2,-9.15954781E1,6.89816288E2
18,1.12806547E-3,5.53828908E3,-9.40578936E2,-5.77584456E3,-5.54073860E1,-1.19022154E2,-2.12738991E2
19,1.19073570E-3,3.64339756E3,1.44754316E4,-3.73538824E3,1.48466324E2,-1.06027162E1,1.65194072E2
20,1.25340604E-3,1.48133684E3,2.84090208E4,-1.38755560E3,8.01176357E2,5.46929644E1,8.46716404E2
21,1.31607640E-3,3.95937656E3,1.03284383E4,-3.89723776E3,7.26482820E2,-2.31315922E1,6.46816064E2
22,1.37874664E-3,6.77747296E3,-3.90669824E3,-6.88984016E3,2.84122776E2,-8.32791520E1,1.64295148E2
23,1.44141696E-3,4.04852581E3,1.43601464E4,-4.20948886E3,2.10531306E2,-6.06885195,1.97644528E2
24,1.50408732E-3,7.40187120E2,2.80384304E4,-6.83227872E2,4.80255560E2,6.29622268E1,5.06120444E2
25,1.56675756E-3,3.89065624E3,8.13418102E3,-3.71693088E3,6.51680468E2,5.23155308E-1,5.62330912E2
26,1.62942780E-3,8.00200939E3,-7.20697928E3,-8.04474163E3,6.33251524E2,-5.30900908E1,5.25063468E2
27,1.69209824E-3,5.49198340E3,1.19691300E4,-5.64200496E3,6.04740811E2,1.44401588E1,6.29869366E2
28,1.75476848E-3,2.31642746E3,2.91582680E4,-2.34607792E3,7.56053304E2,5.74014568E1,7.89518784E2
29,1.81743888E-3,5.03902626E3,1.15494037E4,-5.03185082E3,9.46645452E2,2.10538507,8.56896688E2
30,1.88010904E-3,7.93814184E3,-7.02609015E3,-7.92679312E3,9.80114272E2,-3.50143408E1,8.94480896E2
31,1.94277944E-3,6.14226484E3,8.56469820E3,-6.02799797E3,1.05803657E3,1.40451204,1.09353161E3
32,2.00544977E-3,3.78166936E3,2.68365144E4,-3.55761696E3,1.13019729E3,1.56882132E1,1.18585122E3
33,2.06812001E-3,4.66853476E3,1.16610360E4,-4.53199148E3,9.27698136E2,-3.41888928E1,8.65151024E2
34,2.13079023E-3,6.36473940E3,-6.68136832E3,-6.34096384E3,8.38626384E2,-6.22962904E1,7.27653646E2
35,2.19346070E-3,5.28551912E3,6.22725486E3,-5.18921280E3,1.11791694E3,-1.42473496E1,1.10947180E3
