step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.25532150E3,4.57450344E4,2.72026136E3,-8.50165652E2,5.82263280E1,1.65446784E3
2,1.25340604E-4,6.93962952E3,-8.83898160E3,1.80169192E3,6.65383624E1,2.65200304E2,6.21684552E2
3,1.88010920E-4,1.12152493E4,1.62864112E4,5.21301270E3,-9.89070896E2,6.24499560E1,1.83874496E3
4,2.50681208E-4,8.33885480E3,4.88986920E4,7.28498698E3,-1.74474360E3,-2.81556488E2,2.31405998E3
5,3.13351512E-4,5.93835448E3,3.39753388E4,6.33304358E3,-1.12583506E3,-2.71224544E2,1.63451420E3
6,3.76021840E-4,8.69734384E3,7.95064880E3,3.49109436E3,-4.44138240E2,3.51338504E1,1.28293120E3
7,4.38692140E-4,1.03865934E4,1.63348316E4,2.13346934E3,-7.86255888E2,1.35618068E2,1.72972240E3
8,5.01362419E-4,6.58663892E3,2.92291880E4,3.39897704E3,-1.15508568E3,-6.69595048E1,1.67336120E3
9,5.64032744E-4,4.18988324E3,1.72138144E4,5.32994652E3,-7.05491066E2,-1.96712304E2,9.96404552E2
10,6.26703024E-4,6.63670300E3,6.81060408E3,5.25229310E3,-3.43027212E2,-1.21790088E2,9.86938480E2
11,6.89373352E-4,7.11054468E3,1.65994776E4,2.62350772E3,-6.59159468E2,8.92051312,1.44176124E3
12,7.52043676E-4,4.61196376E3,2.46785904E4,8.68738744E2,-8.24139976E2,3.18908166E1,1.25514876E3
13,8.14713955E-4,3.63614392E3,1.24905432E4,2.03807211E3,-2.60951352E2,-4.45079756E1,4.61755372E2
14,8.77384280E-4,4.40339612E3,1.34363580E3,3.39209748E3,1.60957612E2,-7.30769492E1,1.53940808E2
15,9.40054512E-4,3.56847952E3,9.86964704E3,2.36655784E3,-2.36224508E2,-6.68654112E1,4.40072252E2
16,1.00272489E-3,2.15125656E3,1.88040248E4,1.28671062E3,-6.50865936E2,-7.90417480E1,5.62411976E2
17,1.06539512E-3,3.59915972E3,9.53069876E3,2.21670628E3,-3.19795584E2,-6.37451840E1,3.71464136E2
18,1.12806547E-3,5.06160403E3,-5.46827508E1,3.04980064E3,1.00625169E2,-2.83010816E1,2.37164784E2
19,1.19073570E-3,3.68055392E3,9.55147268E3,2.27406264E3,-1.66907204E2,4.39479540,4.44671156E2
20,1.25340604E-3,2.19504642E3,1.77227080E4,1.12144041E3,-4.86663672E2,3.63641404E1,5.58435728E2
21,1.31607640E-3,3.93565056E3,6.06000996E3,1.41876364E3,-2.24580360E2,3.72028520E1,3.74187304E2
22,1.37874664E-3,6.21895790E3,-1.84595456E3,2.59102988E3,-9.83029272,-1.81344840,3.35625172E2
23,1.44141696E-3,4.57114504E3,9.88044264E3,2.57138896E3,-3.12335110E2,-3.54265212E1,4.86018800E2
24,1.50408732E-3,2.56552244E3,1.78607512E4,2.23841190E3,-6.10691071E2,-5.54492712,6.57048560E2
25,1.56675756E-3,4.36944628E3,5.42739440E3,3.09138465E3,-4.49570228E2,2.86098576E1,6.94578024E2
26,1.62942780E-3,6.28782654E3,-4.20105552E3,3.59993172E3,-2.23168206E2,-1.57169880E1,6.12690496E2
27,1.69209824E-3,4.99860712E3,7.88718792E3,2.55533576E3,-4.11668682E2,-4.58469488E1,6.58793544E2
28,1.75476848E-3,3.22077822E3,1.80796208E4,1.62528764E3,-6.23958684E2,9.42736148,7.83329680E2
29,1.81743888E-3,4.22122670E3,6.21406126E3,2.35913084E3,-4.17242432E2,5.64582016E1,7.87942408E2
30,1.88010904E-3,5.47612236E3,-5.03816843E3,3.39037824E3,-2.29937934E2,1.62911952E1,6.97655392E2
31,1.94277944E-3,4.14115620E3,4.57264660E3,2.88442184E3,-4.46348856E2,-5.42586564E1,6.72216704E2
