step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,-1.74885360E1,3.82061432E4,-3.20929336E3,1.44866620E3,1.92843560E1,5.56956196E1
2,1.25340604E-4,-8.14066792E1,-7.12296247E3,-4.39977360E3,9.10176563E1,2.65132476E1,-4.15650225E1
3,1.88010920E-4,-6.12046623E1,2.78788592E4,-3.41478540E3,2.62210632E3,2.34396172E1,-8.69801328
4,2.50681208E-4,3.58323264E1,4.88663768E4,-1.73112336E3,3.44224332E3,3.43755792,3.11988401E1
5,3.13351512E-4,1.73247024,2.27971506E4,-4.38089420E3,1.56454836E3,8.29458618,-2.99423384E1
6,3.76021840E-4,-9.16521358E1,1.03170502E4,-6.12911558E3,9.42800428E2,2.77196480E1,-6.99179408E1
7,4.38692140E-4,-4.22267914E1,2.70735880E4,-2.05101943E3,1.82801784E3,1.28568494E1,-1.50420000E1
8,5.01362419E-4,5.36176492E1,2.86840032E4,2.98600224E2,1.72871336E3,-1.61671676E1,-1.13461876E1
9,5.64032744E-4,4.01938438E1,1.20302690E4,-4.10068083E3,1.21086466E3,-8.80078792,-7.32080698E1
10,6.26703024E-4,-1.00869644E1,7.86915064E3,-6.57826616E3,1.31558884E3,2.13322902E1,-8.03423882E1
11,6.89373352E-4,1.93380776E1,1.70157536E4,-1.72667144E3,1.01603019E3,2.72039536E1,-1.28294062E1
12,7.52043676E-4,1.00784874E1,2.24079872E4,1.38888384E3,4.33402062E2,9.33767416,1.91362344E1
13,8.14713955E-4,-1.82620800E1,1.51686360E4,-1.70250896E3,4.57610704E2,8.24374772E-1,-5.25164794E1
14,8.77384280E-4,3.50373148E1,3.28207708E3,-3.61791588E3,5.40191840E2,4.00338316,-9.93210984E1
15,9.40054512E-4,6.70787144E1,5.54189872E3,-1.27351392E3,3.44211720E2,6.64887048,-4.21853400E1
16,1.00272489E-3,-3.60565208,1.76174448E4,-2.43950272E2,5.01957178E2,1.60430552E1,1.79598080E1
17,1.06539512E-3,-4.77240704E1,1.54841028E4,-2.47754548E3,7.20208216E2,1.94114552E1,-1.23808038E1
18,1.12806547E-3,1.88329848,2.51118352E3,-3.32618762E3,3.10580325E2,5.40773248,-6.71292640E1
19,1.19073570E-3,4.85718824E1,5.59797620E3,-9.47553348E2,9.31429196E1,4.44891976,-2.98938728E1
20,1.25340604E-3,1.58759020E1,1.90082600E4,-1.31432068E1,7.43542720E2,2.16541767E1,3.25161148E1
21,1.31607640E-3,-1.70974288E1,1.30400014E4,-3.09821844E3,1.06210280E3,2.73885872E1,-1.78225336E-1
22,1.37874664E-3,-7.27537728,-1.05025947E3,-5.04544020E3,5.51566028E2,2.30275034E1,-5.45386552E1
23,1.44141696E-3,2.31986880E1,8.20712566E3,-2.25953650E3,5.72248696E2,1.79453120E1,-1.36445416E1
24,1.50408732E-3,3.56954740E1,2.28729438E4,4.25746488E2,1.15429151E3,1.51573372E1,5.23432494E1
25,1.56675756E-3,1.95050512E1,1.15924013E4,-1.65744008E3,9.76290704E2,2.33076882E1,1.92971072E1
26,1.62942780E-3,-1.85871616,-3.24937748E3,-4.46906280E3,4.82335904E2,2.78093504E1,-3.58395052E1
27,1.69209824E-3,2.72813960E1,7.66555168E3,-2.36209464E3,8.32141494E2,1.65014444E1,3.19037056
28,1.75476848E-3,6.80524920E1,2.01457000E4,6.18657398E2,1.25196362E3,8.02595616,5.28490782E1
29,1.81743888E-3,4.37596512E1,7.83837512E3,-1.25880694E3,7.22147990E2,1.56765212E1,3.85171840
30,1.88010904E-3,-3.74198624,-4.18522262E3,-3.38365792E3,2.25856280E2,2.32846952E1,-4.04922724E1
31,1.94277944E-3,1.77705704E1,6.81464096E3,-9.47888376E2,6.13531494E2,1.40504540E1,8.32184792
32,2.00544977E-3,4.75618744E1,1.52818156E4,1.14278328E3,7.96834656E2,7.62964584,4.41875412E1
33,2.06812001E-3,2.14433146E1,2.65822100E3,-1.45319200E3,2.36760592E2,1.52636708E1,-1.33749688E1
34,2.13079023E-3,-1.55149208E1,-5.58324384E3,-3.72232816E3,6.91715000E1,2.17464090E1,-5.21583510E1
35,2.19346070E-3,1.91406664E1,5.64084196E3,-8.41752052E2,4.26940680E2,1.52801420E1,-1.54019856
36,2.25613094E-3,5.04994154E1,1.24612700E4,1.91884232E3,3.40820788E2,1.44496752E1,3.21568800E1
37,2.31880140E-3,2.63955380E1,1.70279144E3,-4.83600760E2,-3.00164104E1,2.17034674E1,-1.13266695E1
