step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.68283608E3,6.33341836E4,5.70344592E3,-2.09783769E3,-4.33946752E1,2.11486220E3
2,1.25340604E-4,5.88353488E3,-1.46840572E4,5.74617576E3,-4.46455620E2,-7.90587712E1,5.70895624E2
3,1.88010920E-4,1.19791126E4,2.41966604E4,1.19512152E4,-2.50449228E3,-7.94733384E1,2.61020996E3
4,2.50681208E-4,1.24675334E4,7.35411404E4,1.25218428E4,-3.63088608E3,-4.16960096E1,3.54829860E3
5,3.13351512E-4,1.09275305E4,5.04570055E4,1.05475593E4,-2.44776916E3,-8.77280712E1,2.36417460E3
6,3.76021840E-4,8.65860940E3,8.20188426E3,7.92774584E3,-1.22720480E3,-1.18837594E2,1.37431348E3
7,4.38692140E-4,6.45229436E3,2.16479468E4,6.03031397E3,-1.85106088E3,-3.60392572E1,2.04404092E3
8,5.01362419E-4,7.91724536E3,4.69061992E4,7.79625272E3,-2.70495272E3,-1.26769734E1,2.70717904E3
9,5.64032744E-4,1.14745629E4,2.90628600E4,1.11580205E4,-1.89119912E3,-1.30697632E2,1.84423128E3
10,6.26703024E-4,1.16757917E4,9.79515936E3,1.10920453E4,-1.16057944E3,-1.73000136E2,1.26513242E3
11,6.89373352E-4,6.54594280E3,2.50966788E4,6.14765882E3,-1.77967360E3,-6.74995800E1,1.95283280E3
12,7.52043676E-4,3.34003640E3,4.10458660E4,3.32584190E3,-2.22201276E3,-3.16242027E1,2.36277176E3
13,8.14713955E-4,6.33769084E3,2.28252292E4,6.38475036E3,-1.31530988E3,-1.23428630E2,1.45092808E3
14,8.77384280E-4,7.59276580E3,1.83790456E3,7.51019384E3,-2.15337658E2,-1.43616436E2,2.87536432E2
15,9.40054512E-4,4.02387715E3,1.46448244E4,3.86389712E3,-5.31807566E2,-5.55083752E1,5.32089328E2
16,1.00272489E-3,2.07248378E3,3.13351297E4,1.79063880E3,-1.28715658E3,-1.07819963E1,1.33735632E3
17,1.06539512E-3,4.02281475E3,1.56060956E4,3.69127344E3,-7.12894630E2,-7.86415432E1,8.33347130E2
18,1.12806547E-3,5.77523568E3,-1.41840552E3,5.52011584E3,1.62539648E2,-1.18365228E2,-1.24489666E2
19,1.19073570E-3,3.87402200E3,1.41492724E4,3.70673872E3,-2.12753558E2,-2.82498840E1,1.16763544E2
20,1.25340604E-3,1.52096044E3,2.85664960E4,1.44181408E3,-8.55241968E2,5.67978144E1,8.15098476E2
21,1.31607640E-3,3.87034872E3,1.03905487E4,3.82120320E3,-6.51562928E2,1.04397118E1,7.37736656E2
22,1.37874664E-3,6.81342696E3,-4.27606248E3,6.66048764E3,-1.91035680E2,-6.22765350E1,2.38046764E2
23,1.44141696E-3,4.24152852E3,1.40153956E4,4.02873278E3,-2.37006616E2,-2.12375641E1,1.52322580E2
24,1.50408732E-3,8.62815380E2,2.81089088E4,7.92327976E2,-5.44444324E2,5.68349984E1,4.78308296E2
25,1.56675756E-3,3.82230352E3,8.13029957E3,3.83056424E3,-5.80725144E2,3.58675552E1,6.61492588E2
26,1.62942780E-3,7.93100592E3,-7.61845352E3,7.83057400E3,-5.24983072E2,-9.99134352,5.86738872E2
27,1.69209824E-3,5.52850340E3,1.17182816E4,5.42838908E3,-6.41389368E2,1.47990300E1,5.28894090E2
28,1.75476848E-3,2.41922472E3,2.93574904E4,2.38982748E3,-8.27681922E2,3.19480968E1,7.17369794E2
29,1.81743888E-3,5.11568403E3,1.16751397E4,5.09291363E3,-9.00998592E2,-5.23534536,9.39171220E2
30,1.88010904E-3,7.85918952E3,-7.33387088E3,7.92024328E3,-9.16656971E2,-1.52669740E1,9.58897780E2
31,1.94277944E-3,5.97264480E3,8.22194194E3,6.13160419E3,-1.11102366E3,2.27723480E1,1.03038395E3
32,2.00544977E-3,3.65995764E3,2.68607184E4,3.82578136E3,-1.21754562E3,2.51419568E1,1.11619973E3
33,2.06812001E-3,4.62110804E3,1.17976832E4,4.69611832E3,-9.39513300E2,-3.48253108E1,9.20101452E2
34,2.13079023E-3,6.32117652E3,-6.74674080E3,6.36553668E3,-8.13591671E2,-5.92979000E1,8.31308460E2
35,2.19346070E-3,5.18138694E3,6.05565214E3,5.32117462E3,-1.13498104E3,1.16284835,1.09814250E3
36,2.25613094E-3,3.08292890E3,2.26309108E4,3.26443840E3,-1.21800720E3,2.55604840E1,1.14227188E3
37,2.31880140E-3,3.71119736E3,9.67385960E3,3.83671544E3,-7.72322080E2,-3.81464936E1,7.31596900E2
38,2.38147140E-3,5.32222604E3,-6.76587824E3,5.40697812E3,-5.96196888E2,-6.15274191E1,5.82887744E2
39,2.44414188E-3,3.92109992E3,4.87082008E3,4.06668377E3,-9.61390876E2,9.83039664,9.47124384E2
40,2.50681208E-3,1.62876116E3,1.91199592E4,1.76703800E3,-1.01862812E3,5.88973192E1,1.02283180E3
41,2.56948232E-3,2.73403808E3,6.20654154E3,2.76176120E3,-4.62437628E2,1.73797640E1,4.96368168E2
42,2.63215280E-3,4.35631848E3,-8.23608590E3,4.43077040E3,-1.42824400E2,-2.28972506E1,1.95001032E2
43,2.69482328E-3,2.17075992E3,3.18060208E3,2.34989808E3,-4.07962990E2,2.63991332E1,4.39017916E2
44,2.75749328E-3,1.81253472,1.60680820E4,1.55409420E2,-5.95995232E2,7.43153144E1,6.10543394E2
45,2.82016376E-3,1.81281600E3,4.16288280E3,1.86292160E3,-2.41196704E2,4.09208202E1,3.03684664E2
46,2.88283392E-3,3.26798868E3,-8.98811624E3,3.28376626E3,1.59905396E2,-2.12810469,-5.82040312E1
47,2.94550440E-3,1.04245103E3,2.33840204E3,1.12919843E3,-2.41754580E1,3.27985930E1,8.44309140E1
48,3.00817466E-3,-3.55342148E2,1.48793984E4,-2.62189840E2,-4.02820158E2,8.70025824E1,4.35004424E2
49,3.07084465E-3,1.87388920E3,2.91577200E3,1.84372232E3,-2.17336202E2,6.71108008E1,2.82983968E2
50,3.13351512E-3,3.19910550E3,-9.25443936E3,3.13553309E3,1.70751688E2,1.69234312E1,-8.76889800E1
51,3.19618558E-3,8.03252316E2,2.96773984E3,8.56445884E2,3.59674572E1,3.71444176E1,1.31278598E1
52,3.25885558E-3,-7.52407980E2,1.50496484E4,-6.16199827E2,-3.33357382E2,8.01890945E1,3.69325256E2
53,3.32152606E-3,1.64524208E3,2.54109668E3,1.69584048E3,-3.00849748E2,5.87747240E1,3.57777832E2
54,3.38419652E-3,3.46329188E3,-9.54272748E3,3.43351436E3,-6.71718168E1,9.85358528,1.11747742E2
55,3.44686700E-3,1.21362662E3,3.46481060E3,1.25260854E3,-1.81866256E2,3.17942118E1,1.76437392E2
56,3.50953700E-3,-7.64141036E2,1.64448632E4,-6.32810068E2,-4.97526600E2,7.19061804E1,4.74130680E2
57,3.57220744E-3,1.38696216E3,3.93194392E3,1.45760764E3,-5.06051207E2,4.61286688E1,5.27233124E2
58,3.63487768E-3,3.64819408E3,-8.80058960E3,3.66251184E3,-3.84780952E2,4.45189668,4.30699062E2
59,3.69754792E-3,1.67439784E3,3.64446948E3,1.72677096E3,-4.65276528E2,2.32290698E1,4.69115256E2
60,3.76021816E-3,-6.83947608E2,1.66637980E4,-6.17462158E2,-5.86403416E2,4.55874108E1,5.56159876E2
61,3.82288840E-3,1.20069838E3,4.55992080E3,1.19237768E3,-5.52155448E2,1.96189104E1,5.50677252E2
62,3.88555888E-3,3.42009972E3,-8.42928124E3,3.39283608E3,-5.05598974E2,-1.26992416E1,5.33950664E2
63,3.94822928E-3,1.47238360E3,3.08258605E3,1.48862160E3,-5.67703296E2,9.38722324,5.79297112E2
64,4.01089954E-3,-7.87909888E2,1.57548164E4,-7.57369564E2,-5.76400808E2,3.01960874E1,5.69246104E2
65,4.07356930E-3,8.92073536E2,4.37814284E3,8.52226256E2,-4.36097336E2,-5.07757569,4.43819524E2
66,4.13624001E-3,2.96861144E3,-8.09751129E3,2.89080144E3,-3.88365320E2,-3.96845104E1,4.10760164E2
67,4.19891024E-3,1.24168276E3,2.45118548E3,1.19031632E3,-5.03162670E2,-1.13789356E1,5.22513962E2
68,4.26158046E-3,-1.00997949E3,1.39590680E4,-1.02544904E3,-4.72981784E2,1.20319306E1,4.95457888E2
69,4.32425070E-3,3.71879384E2,3.15017152E3,3.15398455E2,-2.14251590E2,-2.32187748E1,2.54716276E2
70,4.38692140E-3,2.32659340E3,-8.48375036E3,2.17756558E3,-1.17907918E2,-5.71926304E1,1.57808768E2
71,4.44959164E-3,8.25366116E2,1.45903552E3,6.40460776E2,-2.94880720E2,-2.87074736E1,3.15618515E2
72,4.51226188E-3,-1.21293318E3,1.21602750E4,-1.32508290E3,-3.20935202E2,3.60047792,3.44420312E2
73,4.57493208E-3,9.36086176E1,1.87587920E3,-2.46813224E1,-4.04077816E1,-1.70365808E1,9.01323128E1
74,4.63760280E-3,1.88774704E3,-8.73380944E3,1.69866552E3,8.68943880E1,-4.86239192E1,-3.67053296E1
75,4.70027256E-3,4.22093152E2,1.04484558E3,2.46089936E2,-1.29828226E2,-2.75787328E1,1.54740740E2
76,4.76294280E-3,-1.27749730E3,1.11796331E4,-1.38256252E3,-2.55130984E2,-9.05010891E-4,2.74430896E2
77,4.82561352E-3,3.04502487E2,1.20695888E3,1.77233616E2,-4.50782348E1,-2.31074786E1,8.13566113E1
78,4.88828376E-3,1.97376560E3,-8.86260984E3,1.81086120E3,9.32588958E1,-5.57686948E1,-6.60323572E1
79,4.95095400E-3,3.42874908E2,1.06692159E3,2.18975926E2,-1.08933377E2,-3.32290196E1,9.66430472E1
80,5.01362419E-3,-1.22498834E3,1.10850382E4,-1.29980814E3,-3.04039598E2,-8.00624561E-1,2.78483176E2
