step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,-2.21400238E1,4.03220177E4,-9.42765428,-5.92651752,-3.42374088E1,-2.87406400
2,1.25340604E-4,-3.43413924E1,-1.42947732E4,-3.02113891E1,3.57612228E1,-2.92831544,2.73694112E1
3,1.88010920E-4,3.23786974E1,-7.65125276E2,-1.75227248E1,8.63323976,7.14504480E1,1.02220690
4,2.50681208E-4,3.31914378E1,3.03083825E4,2.31283020E1,-3.82947656E1,-7.03996897E-1,-3.59939648E1
5,3.13351512E-4,-4.72613240E1,2.45588136E4,3.41960120,-2.55351232E1,-1.31708682E2,-2.20426608E1
6,3.76021840E-4,-2.98266264E1,3.18972086E3,-6.66315840,2.96512984E1,-7.06951618E1,2.13313437E1
7,4.38692140E-4,5.92313720E1,4.32376242E3,5.28993654E1,3.79642464E1,1.26571726E2,2.81501272E1
8,5.01362419E-4,5.93806504E1,1.63737904E4,5.45876932E1,-4.92027424,1.49090528E2,-4.82070640E-1
9,5.64032744E-4,-4.30731392E1,1.82125672E4,-5.87738944E1,-1.68081984E1,-6.74834064E1,-6.97556832
10,6.26703024E-4,-9.12761021E1,9.52151012E3,-9.09659004E1,1.00321805E1,-1.90399112E2,4.17590380
11,6.89373352E-4,-2.43540548E1,1.82895312E3,1.45128380E1,1.20786548E1,-2.86597368E1,1.25055360
12,7.52043676E-4,4.41806220E1,4.43054916E3,9.54421712E1,-6.47633360,1.48143496E2,-8.72450736E-1
13,8.14713955E-4,2.40544296E1,1.27419866E4,3.54218460E1,-7.90948912,6.93321992E1,7.62257052
14,8.77384280E-4,-2.74999120E1,1.33948588E4,-3.86614584E1,-1.49947272,-9.81250576E1,2.92663216
15,9.40054512E-4,-3.81170968E1,4.92179824E3,1.54279756E1,1.76777424,-6.05306006E1,4.39624836E-2
16,1.00272489E-3,-3.63573168,-1.25222588E2,7.10265446E1,3.64503956,5.53841732E1,1.08577216E1
17,1.06539512E-3,1.08468580E1,2.63979580E3,1.01961947E1,2.76072096,1.15185463,1.61509000E1
18,1.12806547E-3,-1.48685740E1,6.90787264E3,-4.98298024E1,-9.08226204,-9.41698836E1,7.20404624
19,1.19073570E-3,-1.64039792E1,8.61498832E3,-3.76634720E1,-1.74411416E1,-2.49854612E1,-8.35468484
20,1.25340604E-3,-1.50602852E1,5.11014652E3,3.60740660E1,-1.53690852E1,9.62124156E1,-5.18531752
21,1.31607640E-3,-4.79340408E1,-2.55519532E3,8.02440548E1,-5.87625696,5.67702624E1,1.84566304E1
22,1.37874664E-3,-6.08676863E1,-2.41866564E3,3.68521568E1,6.80855656,-5.96377424E1,1.75366880E1
23,1.44141696E-3,-4.98204520,8.23298454E3,-2.97021416E1,-5.06269694,-3.29216194E1,-1.39119852E1
24,1.50408732E-3,3.24527716E1,9.94224360E3,-1.32959342E1,-1.51207816E1,5.25101996E1,-2.18028904E1
25,1.56675756E-3,-1.51818240E1,-3.89315224E3,1.53467488E-1,-5.19730330E-1,7.83466480,1.10827923E1
26,1.62942780E-3,-4.02639103E1,-9.47628500E3,-3.97013352E1,1.76893104,-5.67129424E1,2.32995700E1
27,1.69209824E-3,7.24804926,4.90612128E3,-3.90774584E1,-1.96137320E1,4.89494848,-7.71302272
28,1.75476848E-3,1.63063944E1,1.27926182E4,1.84688512,-2.48637556E1,6.54291152E1,-2.38740204E1
29,1.81743888E-3,-1.67558312E1,-1.18347908E3,4.72747704,6.25601340E-1,-6.75700472,-8.58142472E-1
30,1.88010904E-3,-6.10432768,-1.11116886E4,-2.48294448,1.72382344E1,-5.82666016E1,1.14024818E1
31,1.94277944E-3,1.55301832E1,5.14632845E2,1.60673140E1,-5.57528544,1.42577804E1,-1.20604778E1
32,2.00544977E-3,-5.08835173,1.13109016E4,-4.34526540,-1.47355796E1,6.34321024E1,-1.99219536E1
33,2.06812001E-3,-2.71363952E1,1.82659648E3,-4.99991176E1,9.64101696,-1.34017836E1,1.02973163E1
34,2.13079023E-3,-1.76260056E1,-9.45786284E3,-1.02548587E1,1.21262300E1,-6.92461536E1,2.54453300E1
35,2.19346070E-3,-2.46232892E1,-2.93647744E3,6.15964508E1,-1.00133073E1,1.19162654E1,1.83367824
36,2.25613094E-3,-2.77922872E1,8.03991318E3,6.80120232E1,-8.72258856,8.07551384E1,-1.63377560E1
37,2.31880140E-3,-7.60400344,4.81934496E3,2.05469823E1,1.10179257E1,-1.42064024E1,-4.41573048
38,2.38147140E-3,-8.25346088,-4.86571408E3,-3.87575176,1.76073136E1,-1.11487710E2,9.41403960
39,2.44414188E-3,-1.59248604E1,-4.42507504E3,3.79101728E1,4.10998106,-2.35095932E1,7.18236446
40,2.50681208E-3,-2.03682804E-1,2.80734632E3,5.71526480E1,-2.28312182,9.12596798E1,-5.42743780E-1
41,2.56948232E-3,1.22424734E1,3.77329184E3,2.77502344E1,1.08443713E1,1.77473320E1,-4.94001056
42,2.63215280E-3,2.58809088,-8.52272604E2,8.14986324,1.89139392E1,-9.29666520E1,-3.08068896
43,2.69482328E-3,6.55604076E-1,-1.69897544E3,1.69389840E1,6.78673696,-2.74085688E1,1.48948156
44,2.75749328E-3,1.09091365E1,1.26026868E3,1.83874288E1,-9.54708864,7.60131072E1,-2.38573216
45,2.82016376E-3,6.53635072,1.47283684E3,-1.57941248E1,-6.49306820,1.11376393E1,-8.68404392
46,2.88283392E-3,-2.22464610,-2.72175312E2,-2.69874600E1,1.12193406E1,-8.29840184E1,-4.54502152
47,2.94550440E-3,-6.09389496,8.36952116E2,1.60102104E1,1.20827746E1,-1.60382736E1,-7.42048024E-1
48,3.00817466E-3,2.15016246,2.37266208E3,3.00651908E1,-4.45317888,7.44964312E1,-5.77817584
49,3.07084465E-3,1.13504994,3.08440185E1,-1.80467416E1,-7.64663504,1.16721654E1,-4.98615552
50,3.13351512E-3,8.92617512E-1,-1.20758688E3,-4.08795881E1,-5.13170910,-7.47667932E1,2.36600496E-1
51,3.19618558E-3,1.06486035E1,2.64440608E3,1.56222368,-1.36438096E1,-1.23515594E1,-6.27316332E-2
52,3.25885558E-3,9.94483760,3.83672712E3,2.88923072E1,-1.45761120E1,7.33356238E1,-7.46202372E-1
53,3.32152606E-3,5.61045788,-1.96698344E3,-1.89453376E1,4.08405161,1.64300572E1,3.96603464
54,3.38419652E-3,2.56847788,-3.92016960E3,-5.71845008E1,1.26824510E1,-5.63286256E1,-2.96792056
55,3.44686700E-3,-1.17561830,3.58082700E3,-2.50262404E1,-4.57230140E-1,7.44014312E-1,-1.65855920E1
56,3.50953700E-3,-2.93043896,6.91851424E3,1.43283188E1,-1.08880508E1,6.53927088E1,-1.20802330E1
57,3.57220744E-3,2.74178264,-1.48022436E3,6.18418360,-4.52473688,4.27874804,1.33835388E1
58,3.63487768E-3,4.34451772,-6.43966532E3,-3.99507312E1,-2.18741822,-6.05723763E1,1.71824192E1
59,3.69754792E-3,4.57624388,1.78171160E3,-4.68793152E1,-9.42228796,-3.78850080,-1.01750255E1
60,3.76021816E-3,2.02257156,7.82000824E3,-1.23536336E1,-7.87145232,5.79425768E1,-1.79798152E1
61,3.82288840E-3,-5.22283268,1.08823383E2,-1.91410944E1,8.47608948,-4.67434216,5.76188992
62,3.88555888E-3,2.67001152,-6.73449472E3,-4.22441054E1,1.34585704E1,-6.95220136E1,1.62994884E1
63,3.94822928E-3,3.37753988E-1,-2.22443390E2,-2.86500624E1,-5.25081968,-5.55478668,1.22582304
64,4.01089954E-3,-8.50936984,6.71416232E3,-3.20166350,-1.89259056E1,6.97997376E1,-9.54997920
65,4.07356930E-3,-1.28659416E1,1.24843932E3,-1.84726032E1,-4.56300640,2.83504464,2.94508600
66,4.13624001E-3,-8.04321766E-1,-5.58930064E3,-3.51089360E1,1.13349009E1,-7.96578552E1,1.38646496E1
67,4.19891024E-3,1.04255665E1,-1.36672376E3,-5.56577636,5.91315080,-1.50084460E1,2.98347328
68,4.26158046E-3,-2.36042808,5.13602972E3,1.46053456E1,-5.43979456,7.22450352E1,-1.13041151E1
69,4.32425070E-3,-2.30694246E1,2.29146290E3,-1.87433424E1,-3.10592031,7.48688604,-4.22298240
70,4.38692140E-3,-2.03195095E1,-3.44577600E3,-1.77705752E1,8.53757192,-7.74937824E1,1.10807776E1
71,4.44959164E-3,5.26583766,-1.59724368E3,1.23789132E1,5.18758964,-1.58349096E1,9.13515568
72,4.51226188E-3,1.27335286E1,3.26661802E3,1.51576816E1,-5.99341680,6.74967720E1,-4.72529080
73,4.57493208E-3,-1.10306299E1,2.25342798E3,5.60127304,-2.61020828,5.86308576,-4.89774224
74,4.63760280E-3,-3.29574562E1,-1.37323500E3,1.32776082,7.22741032,-7.11259174E1,6.92304752
75,4.70027256E-3,-1.21468902E1,-3.24009800E2,3.15795708,3.76237872,-1.26074528E1,6.25792170
76,4.76294280E-3,1.32651938E1,2.51266076E3,7.55298044,-4.86968472,6.21776534E1,-4.03113747
77,4.82561352E-3,-6.16075087,1.15655792E3,1.02138674E1,-1.14981329,5.37276888,-3.91292048
78,4.88828376E-3,-2.98301360E1,-9.53573800E2,2.05702853E1,6.21035862,-6.47278452E1,3.61422444
79,4.95095400E-3,-5.23474694,1.26051128E3,2.04550481E1,-5.62021016E-1,-1.20770692E1,1.88401088
80,5.01362419E-3,2.95034384E1,3.31312156E3,1.40706276E1,-7.22976208,5.75569104E1,1.47746612
81,5.07629442E-3,1.41935004E1,3.21378470E2,5.20672226,4.61556864E-1,5.49497940,9.44291688
82,5.13896465E-3,-2.13315177E1,-1.73737392E3,-4.94730616,5.92938568,-5.82187888E1,5.01059341
83,5.20163536E-3,-1.80211352E1,2.25213408E3,7.44125080,-1.30172812,-7.16757727,-1.05908191E1
84,5.26430560E-3,6.34208440,4.80851504E3,2.45003580E1,-4.83186432,5.54418372E1,-9.89290904
85,5.32697630E-3,7.00931358,1.85162416E2,1.34430848,-2.44096564E-1,2.54115604,6.08243609
86,5.38964652E-3,-7.63286068,-2.75955104E3,-2.93631240E1,-2.41327904E-2,-5.73765136E1,1.07588852E1
87,5.45231628E-3,-5.19772530,2.51865532E3,-5.42857696,-7.15562248,-3.69922568,-2.55373240
88,5.51498652E-3,5.94877056,6.06535054E3,2.99320296E1,-7.57853460,5.71770528E1,-9.96239952
89,5.57765676E-3,2.67868664E-1,5.08618307E2,4.55477716,1.86712912,1.44848420,2.12773275
90,5.64032744E-3,-1.29544580E1,-3.50446128E3,-3.56360936E1,5.45628072,-5.95856616E1,9.94212248
91,5.70299720E-3,-1.51946320E1,2.15804291E3,-2.23007942E1,-1.98098000,-2.15319824,-3.42713976
92,5.76566792E-3,-5.59641980,6.75594424E3,6.45634652,-7.39598276,6.11337376E1,-1.37751032E1
93,5.82833816E-3,-3.20498062,1.36096312E3,5.49675464,-2.53549028,1.30704152,-1.36601484
94,5.89100888E-3,-1.23306632E1,-3.67635512E3,-3.09499264,2.75433304,-6.48945236E1,1.16041625E1
95,5.95367912E-3,-1.48222292E1,9.86280536E2,2.20967246,-5.92365216E-1,-6.24460030,5.59292508E-1
96,6.01634932E-3,-1.21308648,6.11132383E3,-2.19946456E-1,-4.87522984,6.11906099E1,-1.54209292E1
97,6.07901955E-3,9.19409848,2.21814870E3,-1.83101656E1,-3.27386666E-1,3.88572456,-6.75632240
98,6.14168930E-3,1.14789116,-2.77733632E3,-1.36386300E1,4.18227100,-6.42853688E1,8.64672376
99,6.20436000E-3,-2.28744220,2.40063380E2,1.75521792E1,2.22925782E-1,-9.53954028,1.99145832
100,6.26703024E-3,1.30942904E1,4.75532816E3,2.46218420E1,-5.89555360,6.01344967E1,-1.30781018E1
101,6.32970094E-3,1.39383040E1,2.30438780E3,-4.35517596,-3.23212528,8.09796143,-9.10387993
102,6.39237116E-3,7.05212975,-1.75396024E3,-2.05124545E1,3.90276120,-5.78967192E1,3.16262341
103,6.45504092E-3,2.14946055E1,2.28751874E2,-3.33247876,3.75393368,-6.52825404,2.94965528
104,6.51771116E-3,2.98097304E1,3.76010488E3,1.39549196E1,-8.75092312E-1,5.91188576E1,-4.25929212
105,6.58038188E-3,1.23363256E1,1.95710072E3,8.33397006,-4.22603034E-1,9.12330151,-6.05067730
106,6.64305212E-3,-9.88750264E-1,-1.17613972E3,-3.25856734E-1,2.75314096,-5.49253036E1,-2.83747552
107,6.70572232E-3,1.06856954E1,5.39523936E2,-2.43688272,-3.58863784E-1,-5.80226040,-1.42418824
108,6.76839304E-3,2.15419698E1,3.27953886E3,-2.02367473,-3.15939736,5.85290480E1,-5.99565984E-1
109,6.83106328E-3,7.02729321,1.35918508E3,2.43228720,1.77996432,8.61871052,1.75855504
110,6.89373400E-3,-1.82751824,-1.07279110E3,5.40359592,4.85846664,-5.46860312E1,4.84940288E-1
111,6.95640376E-3,1.43745600E1,1.25533236E3,1.22011698E1,-1.00118971,-6.16454458,-3.88225960
112,7.01907396E-3,2.21221710E1,3.54824804E3,1.17506516E1,-5.33426810,5.47416640E1,-3.15893030
113,7.08174420E-3,-3.04732085,6.46054364E2,-9.24778842,-1.06813205,5.26014424,5.15769005
114,7.14441490E-3,-1.76532352E1,-1.68309880E3,-1.74630248E1,3.45894932,-5.51813792E1,6.56501912
115,7.20708466E-3,-7.91728064,1.82655968E3,3.59916188,-8.19933510E-1,-7.43283032,-5.05657816
116,7.26975536E-3,2.02883291,4.41132640E3,2.17665100E1,-5.54179048,5.17419624E1,-9.06345845
117,7.33242560E-3,2.49322104,4.40734528E2,6.59778880,-2.81603864,1.66444884,4.66601800
118,7.39509584E-3,-2.98869656,-2.45299552E3,-1.92410072E1,2.17323136,-5.64556264E1,1.09818065E1
119,7.45776604E-3,-9.41085720,1.83768520E3,-1.05774200E1,-2.91693976E-1,-6.14731359,-1.89999320
120,7.52043628E-3,-9.87408160,5.12154293E3,9.68145944,-4.47423888,5.23604298E1,-9.57593440
121,7.58310700E-3,-1.20819700E1,7.74013616E2,3.54198360,-1.27251410,1.85277608,2.94720056
122,7.64577676E-3,-1.50772692E1,-2.79283808E3,-5.93216040,2.84542608,-5.58211996E1,1.03316283E1
123,7.70844744E-3,-5.61739540,1.41697492E3,1.08035982E1,-8.20567990E-1,-5.53812932,-2.95451072
124,7.77111768E-3,1.26915050E1,5.17937994E3,1.84732904E1,-5.16969108,5.31880332E1,-1.27017022E1
125,7.83378840E-3,7.66832016,1.21404660E3,-6.92246864,-1.69803736,3.57163716,-2.53452016
126,7.89645864E-3,-7.97219232,-2.66559364E3,-2.21609092E1,4.02546644,-5.42782640E1,6.73192928
127,7.95912840E-3,-2.51843952,8.89125632E2,3.40031816,2.54502296,-3.93037608,-3.54067040E-1
128,8.02179909E-3,1.03255034E1,4.77470112E3,1.96035632E1,-1.73032664,5.50372076E1,-1.00797057E1
129,8.08446980E-3,5.22738410,1.64989696E3,3.41553068E-1,-1.31265878,5.19044018,-5.76215792
130,8.14713860E-3,2.62035964,-2.21137690E3,-1.09490132E1,1.04526913,-5.42329360E1,2.70028112
131,8.20980930E-3,1.05491376E1,3.37407492E2,3.19303966,6.03167009E-2,-5.07934618,1.39387332
132,8.27248002E-3,8.61923788,3.91743592E3,1.35852588E1,-6.31095504E-1,5.45544576E1,-5.59556676
133,8.33515072E-3,-6.65910196,1.73182416E3,2.39412736,2.19360400,6.85541104,-5.27278852
134,8.39782048E-3,-4.41176844,-1.61386680E3,-1.20870436E1,2.25211716,-5.15033484E1,1.05591393
135,8.46049120E-3,1.38305808E1,2.31244874E2,-4.63861036,-2.91493512,-5.59306000,1.64791392
136,8.52316092E-3,1.39615904E1,3.19987584E3,6.76497504,-4.78083040,5.14771605E1,-3.12419081
137,8.58583260E-3,-6.07138300,1.40449236E3,3.78038120,-7.10501671E-2,6.10377979,-2.49163820
138,8.64850140E-3,-1.23182964E1,-1.29045414E3,-1.14155579E1,1.79938720,-4.97973776E1,8.37225340E-1
139,8.71117208E-3,-2.21758198,5.51007988E2,-1.18352712E1,-2.97332096,-4.95081472,-2.60430860E-1
140,8.77384280E-3,3.54901004,2.97174880E3,2.75764920,-5.43809892,5.05353308E1,-1.72989640
141,8.83651256E-3,-3.12701488,8.50618552E2,9.50654220,-1.78237096,6.05236769,9.71971224E-1
142,8.89918328E-3,-1.02496004E1,-1.49105144E3,2.54784536,1.04783869,-4.84578560E1,2.08866239
143,8.96185304E-3,-5.72505952,8.92786312E2,-2.42705108,-8.25160598E-1,-4.06886292,-2.12321544
144,9.02452374E-3,4.99452256,3.17770482E3,-9.22980690E-1,-2.63909124,5.00838041E1,-2.63831376
145,9.08719349E-3,1.72782064,4.32772446E2,-2.00451899E-1,8.34401892E-1,4.83584496,4.07943678
146,9.14986420E-3,-7.11486387,-1.93172040E3,2.07653189,3.62192084,-4.87782768E1,4.74183080
147,9.21253490E-3,-4.14396954E-1,1.09819067E3,9.47611044,-1.67069064E-1,-3.46214984,-4.40256548
148,9.27520562E-3,9.69236472,3.54152800E3,1.26915300E1,-3.15958881,4.97531464E1,-6.29107142
149,9.33787536E-3,4.48086976,2.07272268E2,-3.41662908E-1,1.48105980,5.03528595,3.84896040
150,9.40054512E-3,-3.94414856,-2.44753504E3,-7.20833778,5.70397280,-4.75537016E1,6.44896984
151,9.46321584E-3,-1.01424837,1.02637541E3,8.78087712,2.89092776,-3.59119988,-4.17139006
152,9.52588560E-3,1.78460944,3.88140296E3,1.73771504E1,-1.39029980,4.82130768E1,-8.27440262
153,9.58855628E-3,-3.92822696E-1,3.69142440E2,4.98758408,1.78759504E-1,3.42331840,1.92433096
154,9.65122700E-3,-3.10089087E-1,-2.69623256E3,-3.49234272,3.02884770,-4.78341768E1,6.96306512
155,9.71389768E-3,6.03003025,6.82598544E2,4.81960680,2.21295142,-2.15317464,-2.18810726
156,9.77656744E-3,3.95690008,3.89075920E3,6.18610764,-1.43397556E-1,4.92415192E1,-8.01380634
157,9.83923816E-3,-6.37108420,7.47431944E2,-9.96144008,5.17678834E-1,2.74082712,-9.58556748E-2
158,9.90190792E-3,-6.73239040,-2.51702284E3,-1.13696432E1,1.72355832,-4.99563984E1,6.15026569
159,9.96457864E-3,7.06533385,3.34531832E2,1.87471304,1.85364344E-1,-4.83957144,1.35744868E-2
160,1.00272489E-2,1.43274164E1,3.60002684E3,1.16210258,-2.07136584,4.80082416E1,-6.64544724
161,1.00899196E-2,2.34876632E-1,1.11102211E3,-2.20473170E1,-1.27048600,4.03533697,-1.42431080
162,1.01525891E-2,-1.09152389E1,-1.99964176E3,-3.22442746E1,-5.53006840E-2,-4.85380176E1,5.48056460
163,1.02152586E-2,-9.51039696E-2,2.51124192E2,-1.80133272E1,-2.08399892,-5.22736788,1.70579448
164,1.02779293E-2,1.22651994E1,3.26452256E3,-2.09156537,-4.36755324,4.67361688E1,-5.73123648
165,1.03406000E-2,5.94862984,1.29889036E3,-7.65838812,-3.00154305,3.22663116,-3.45332576
166,1.04032707E-2,-9.76171688E-2,-1.47129868E3,-2.23113204E1,-1.31159460,-4.83184864E1,3.05670142
167,1.04659403E-2,1.07937122E1,3.92461184E2,-2.74131992E1,-3.14210892,-4.85743424,1.67036844
168,1.05286110E-2,1.77040848E1,3.01625109E3,-2.06577063E1,-4.59399416,4.70020816E1,-4.53766632
169,1.05912817E-2,1.10551476,1.25802016E3,-1.72680592E1,-1.92697776,5.43465708,-3.24667358
170,1.06539524E-2,-6.91686056,-1.10023117E3,-2.11681223E1,-1.26884400E-1,-4.53466892E1,1.38713636
171,1.07166219E-2,1.02793503E1,7.98140528E2,-1.47710704E1,-3.37473796,-4.29785586,-1.18358720E-2
172,1.07792926E-2,2.60041976E1,3.07562185E3,-1.61552848,-5.05892658,4.66748716E1,-3.61961532
173,1.08419633E-2,1.45630632E1,1.07666087E3,-8.05420113,-1.84527912,6.71791792,-1.40907572
174,1.09046328E-2,-1.58359612,-1.03928697E3,-1.51698388E1,5.36128284E-1,-4.29355430E1,5.75411032E-1
175,1.09673035E-2,-4.12585592,1.26698530E3,4.06372452E-1,-1.31242002,-2.08418059,-3.07388473
176,1.10299730E-2,2.89828232,3.43779756E3,1.53812252E1,-3.26045250,4.77195168E1,-4.86321112
177,1.10926437E-2,6.11648083,9.29587174E2,2.42390512,-1.82065048,8.15154076,4.31201934E-1
178,1.11553133E-2,5.51592876,-1.27262772E3,-2.67649224,4.25669002E-1,-4.08125878E1,2.41533232
179,1.12179840E-2,1.88092800,1.47225796E3,1.81571472E1,-3.66380072E-1,-1.07950008,-3.16927742
180,1.12806547E-2,-1.08949172,3.81605336E3,2.77244040E1,-1.89420632,4.69789168E1,-5.24769210
181,1.13433254E-2,-7.14881611,9.56550980E2,8.58961200,-4.72511240E-1,7.42507648,1.88818976
182,1.14059949E-2,-7.89487312,-1.49992788E3,3.49634196,1.77566984,-3.95904544E1,4.44725752
183,1.14686656E-2,-5.39784336E-1,1.43180740E3,2.65753532E1,2.69420504E-1,4.44165708E-1,-2.58153200
184,1.15313363E-2,3.86746600E-1,4.01358461E3,3.64932800E1,-2.18368888,4.67211624E1,-5.62876128
185,1.15940058E-2,-1.03908289E1,1.09459722E3,1.67639160E1,-1.04003608,5.93969008,1.77411928
186,1.16566765E-2,-1.34981884E1,-1.61200296E3,4.08562851,1.56389032,-4.16450310E1,5.76984504
187,1.17193472E-2,-3.32008672,1.19522988E3,2.17163944E1,1.27167762,-2.02562571,-1.48295928
188,1.17820180E-2,4.47784852,3.97849776E3,3.66497040E1,-1.42495252E-1,4.53989364E1,-6.31771230
189,1.18446874E-2,-2.89642264,1.34732044E3,2.10158372E1,-2.85715056E-1,6.24605656,5.99966144E-1
190,1.19073582E-2,-7.34504032,-1.49578012E3,5.22243022,2.54377580E-2,-4.06055975E1,6.07568693
191,1.19700288E-2,-7.50602676E-1,8.71201232E2,1.38590656E1,-3.48218252E-1,-1.54285740,2.30803990E-1
192,1.20326984E-2,-1.46721828,3.64195488E3,2.65747548E1,-2.77706432E-1,4.54046108E1,-5.45601036
193,1.20953680E-2,-1.23614490E1,1.49416256E3,1.40695320E1,2.71155976E-1,6.48815108,-6.55001400E-1
194,1.21580386E-2,-1.02798772E1,-1.21271956E3,-1.21311212E-1,2.24381852E-1,-3.92444968E1,5.24516868
195,1.22207094E-2,6.49112652,6.93210504E2,1.21126748E1,-5.93022536E-1,4.08152247E-1,1.85633336
196,1.22833788E-2,1.54019892E1,3.21638560E3,2.73962232E1,-5.18042564E-1,4.70381688E1,-4.11989355
197,1.23460496E-2,3.40944528,1.41148304E3,1.56188500E1,8.29038810E-1,8.56562616,-1.98217976
198,1.24087202E-2,-6.72011184,-1.00713301E3,-3.05088258,1.48598492,-3.72570968E1,2.75244520
199,1.24713910E-2,3.01818490,7.08619356E2,1.16295469,5.33306074E-1,1.16589630,7.30757236E-1
