step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.20659400E3,3.57933496E4,-5.03465700E2,1.46230280E2,-4.90294840E1,1.06877411E3
2,1.25340604E-4,7.39933492E3,-8.87348936E3,1.65369224E3,-3.46233940E2,-1.85592400E2,6.01046133E2
3,1.88010920E-4,7.47862004E3,9.23363400E3,-4.65057136E2,1.65671324E2,-8.77908424E1,1.08251131E3
4,2.50681208E-4,3.92216184E3,3.38619684E4,-3.68245008E3,7.37547588E2,1.39870132E2,1.16371083E3
5,3.13351512E-4,5.01001501E3,2.27774048E4,-4.19070196E3,5.00024176E2,1.77324056E2,1.00227106E3
6,3.76021840E-4,9.36304856E3,3.95208288E3,-1.41176080E3,3.68404008E1,2.56175756E1,1.04663933E3
7,4.38692140E-4,8.04104996E3,1.12674534E4,6.62461232E2,1.64313744E2,-3.83689120E1,1.00942135E3
8,5.01362419E-4,1.64520644E3,2.10126829E4,-8.01025963E2,3.94573352E2,-7.77817776,5.76041792E2
9,5.64032744E-4,1.18161774E3,9.11431026E3,-2.92602608E3,1.89889088E2,4.86310480E1,3.64159392E2
10,6.26703024E-4,5.85304352E3,-1.10359848E3,-2.12954450E3,4.24835158E1,7.89268064E1,6.47849608E2
11,6.89373352E-4,6.32243348E3,1.03053200E4,1.97756616E2,2.16496968E2,1.00819218E1,8.13398266E2
12,7.52043676E-4,3.25771022E3,2.13643885E4,4.10068083E2,2.23988104E2,-6.79207608E1,6.31325198E2
13,8.14713955E-4,2.34008740E3,8.77329920E3,-1.22812772E3,-1.00225115E2,-4.30084562E1,2.37891696E2
14,8.77384280E-4,3.52030992E3,-5.15012503E3,-1.99337136E3,-1.61954568E2,4.79673720E1,-2.77235864E1
15,9.40054512E-4,2.80019048E3,3.64814616E3,-1.37797524E3,2.05102897E2,9.76700496E1,1.02519822E2
16,1.00272489E-3,1.63113712E3,1.52784084E4,-6.79043392E2,3.57139944E2,3.93136336E1,4.00710392E2
17,1.06539512E-3,3.75758744E3,6.54553700E3,-5.95430280E2,2.46454000E1,-3.17985130E1,4.62426568E2
18,1.12806547E-3,5.06275702E3,-4.74941584E3,-1.01125825E3,-2.04045916E2,-2.33404326E1,2.05119038E2
19,1.19073570E-3,2.59432484E3,4.53116368E3,-1.19773710E3,6.84377384E1,2.68535256E1,7.16497898E1
20,1.25340604E-3,1.01143336E3,1.47688688E4,-7.20988512E2,3.10580397E2,3.37016796E1,2.40220832E2
21,1.31607640E-3,3.66789888E3,3.91595816E3,-5.42696380E2,9.64834976E1,-4.87811896,4.12467146E2
