step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,3.08583856E3,4.06337166E4,8.74083520E2,-4.38841200E2,6.29795074E1,1.55770720E3
2,1.25340604E-4,4.41689636E3,-7.29243184E3,1.04104674E3,6.25456714,2.06018782E2,2.41219044E2
3,1.88010920E-4,3.30806852E3,3.00249457E4,5.66435860E2,-7.08610106E2,6.36806060E1,2.80347392E3
4,2.50681208E-4,1.39594220E3,5.28878260E4,4.79415992E1,-9.56682684E2,-1.24089456E2,3.42401884E3
5,3.13351512E-4,3.93323776E3,2.44358396E4,1.27858758E3,-4.03332281E2,-3.65703060E1,1.44594168E3
6,3.76021840E-4,6.02714920E3,9.84116648E3,2.36385512E3,-2.49353648E2,9.81963632E1,1.22070802E3
7,4.38692140E-4,2.77252272E3,2.78732488E4,1.01529956E3,-5.43349792E2,-2.73490456,2.31494760E3
8,5.01362419E-4,5.70771648E2,3.05325127E4,-2.98272632E2,-4.45747184E2,-1.02265132E2,1.73047384E3
9,5.64032744E-4,3.86362624E3,1.38952972E4,9.19008350E2,-2.14164901E2,2.84084296E1,9.52630616E2
10,6.26703024E-4,5.78067920E3,1.05487800E4,2.02222538E3,-3.24895430E2,1.05881894E2,1.49758064E3
11,6.89373352E-4,1.94412480E3,1.89055408E4,9.59154128E2,-3.41560268E2,-3.63792992E1,1.43927096E3
12,7.52043676E-4,-5.50075628E2,2.14186263E4,7.85052824E1,-9.59965228E1,-9.20547962E1,5.06093884E2
13,8.14713955E-4,1.83688104E3,1.51594724E4,5.48655892E2,5.26535558,5.92308760E1,3.55029680E2
14,8.77384280E-4,3.31549454E3,6.32456064E3,8.02511501E2,-4.72920368E1,9.48385428E1,5.76228144E2
15,9.40054512E-4,1.16825902E3,6.49283456E3,4.94711736E2,-4.52052452E1,-5.72153616E1,2.71505880E2
16,1.00272489E-3,2.27836514E2,1.63143444E4,5.25897026E2,-1.34171416E2,-1.24822032E2,4.30527544E2
17,1.06539512E-3,2.34023644E3,1.60516404E4,8.75793840E2,-2.22612262E2,1.33107912E1,9.30812358E2
18,1.12806547E-3,3.11446404E3,3.54509164E3,8.25324536E2,-4.92854544E1,1.23729562E2,3.94745160E2
19,1.19073570E-3,1.44903600E3,5.72789336E3,3.26052260E2,3.71776584E1,3.81704688E1,-1.41518152E2
20,1.25340604E-3,1.03417921E3,2.02328754E4,1.23020816E2,-2.35636280E2,-5.64955520E1,6.69182584E2
21,1.31607640E-3,2.76647472E3,1.48254156E4,5.19748354E2,-3.32243084E2,1.10894501E1,1.20824038E3
22,1.37874664E-3,3.71542024E3,-9.78766728E2,1.01915622E3,-1.02182746E2,7.71277336E1,4.78716088E2
23,1.44141696E-3,2.20471716E3,7.26422262E3,9.80389976E2,-1.43648588E2,1.33534658E1,3.42288448E2
24,1.50408732E-3,8.14455032E2,2.35729336E4,5.79518840E2,-4.28841734E2,-6.48115252E1,1.21752906E3
25,1.56675756E-3,2.23120142E3,1.31873834E4,5.40294124E2,-3.41860484E2,-2.89465760,1.16868616E3
26,1.62942780E-3,3.82067752E3,-2.85350016E3,7.29794216E2,-7.76103064E1,8.89623168E1,3.93920160E2
27,1.69209824E-3,2.26487326E3,8.43427564E3,6.04539919E2,-2.18524862E2,2.40478136E1,7.23292304E2
28,1.75476848E-3,3.27678608E2,2.16881824E4,3.50681972E2,-4.34564640E2,-6.96735712E1,1.38621580E3
29,1.81743888E-3,1.46246492E3,7.96385720E3,6.51560880E2,-2.34958672E2,-1.47068764E1,8.30656624E2
30,1.88010904E-3,3.05545092E3,-4.29482126E3,9.75304320E2,-4.95458080E1,6.23992920E1,2.69605688E2
31,1.94277944E-3,1.73813808E3,8.39944172E3,4.30990600E2,-2.20252156E2,1.06884182E1,7.72992040E2
32,2.00544977E-3,4.59145020E1,1.70346952E4,-5.29523706E1,-2.77029728E2,-5.81600712E1,9.18660926E2
33,2.06812001E-3,1.37693180E3,3.05058861E3,4.86509848E2,-5.43808888E1,3.83603832E-1,2.11179280E2
34,2.13079023E-3,2.87077856E3,-5.42153740E3,9.32876300E2,-2.70244096E1,6.34798048E1,1.26609492E2
35,2.19346070E-3,1.03881204E3,6.22543334E3,3.16482687E2,-1.98735808E2,4.41266012,6.27185536E2
36,2.25613094E-3,-8.58432864E2,1.26412356E4,-1.97972728E2,-1.44865668E2,-4.73128792E1,4.07113028E2
37,2.31880140E-3,7.61067248E2,1.95051984E3,3.84798360E2,3.45300792E1,1.98537088E1,-9.60917568E1
38,2.38147140E-3,2.42338444E3,-4.37747716E3,7.27744388E2,-3.71290640,8.56371976E1,9.83859352E1
39,2.44414188E-3,7.32340002E2,4.10780525E3,2.84027912E1,-1.21666980E2,3.42965864E1,3.70328000E2
40,2.50681208E-3,-8.76348400E2,1.00031912E4,-3.07819462E2,-9.55193900E1,-3.41245244E1,1.55191600E2
41,2.56948232E-3,6.85012056E2,2.89656568E3,4.09864902E2,-4.43809844E1,5.66812752,9.21046352E1
42,2.63215280E-3,2.18761038E3,-3.15391517E3,7.65711592E2,-6.74348832E1,6.71139144E1,3.08194328E2
43,2.69482328E-3,8.24656010E2,3.36945700E3,8.25243282E1,-8.62670804E1,3.90103888E1,2.89436912E2
44,2.75749328E-3,-5.41962528E2,1.04655421E4,-3.60711552E2,-1.10148442E2,-1.76493320E1,2.46854544E2
45,2.82016376E-3,7.72119856E2,4.46523188E3,1.59376584E2,-1.31988788E2,9.06173516,4.34780456E2
46,2.88283392E-3,2.07956195E3,-3.54617192E3,5.97391080E2,-8.97147368E1,5.53189564E1,4.26864958E2
47,2.94550440E-3,7.71908328E2,2.57567716E3,2.36849976E2,-7.85803984E1,1.53337156E1,2.77237608E2
48,3.00817466E-3,-5.90378000E2,1.16978442E4,-1.17800152E2,-1.75842336E2,-3.90953448E1,4.82714704E2
49,3.07084465E-3,6.03398848E2,5.11066818E3,1.99718312E2,-1.75644872E2,2.07958913,6.25351428E2
50,3.13351512E-3,1.91593400E3,-5.11369371E3,4.99412920E2,-3.89907456E1,4.77305368E1,2.71075800E2
51,3.19618558E-3,6.57989312E2,1.62971364E3,1.40323388E2,-5.18965768E1,-4.44314288,1.62509428E2
52,3.25885558E-3,-8.39362812E2,1.18208646E4,-2.17630530E2,-2.03085470E2,-5.87707088E1,5.61565828E2
53,3.32152606E-3,2.35713124E2,3.91761136E3,1.52418684E2,-1.50430192E2,-3.95320128,5.26193046E2
54,3.38419652E-3,1.64461232E3,-6.74002168E3,5.74833584E2,2.37478948E1,5.02917433E1,1.90198936E1
55,3.44686700E-3,4.68753768E2,1.41457320E3,1.52121960E2,-3.15338635E1,4.21169568E-1,6.72957328E1
56,3.50953700E-3,-1.06545496E3,1.12153244E4,-4.09242535E2,-1.69439808E2,-5.11174202E1,4.48028992E2
57,3.57220744E-3,8.91586872E1,1.92232800E3,-3.42536092E1,-6.98019360E1,-3.69384336,2.21572328E2
58,3.63487768E-3,1.58706976E3,-7.71151968E3,5.49025012E2,5.34035732E1,4.63288164E1,-1.49312748E2
59,3.69754792E-3,3.61202192E2,1.66168632E3,1.99102296E2,-5.77201888E1,4.09189415,1.19675446E2
60,3.76021816E-3,-1.13231409E3,1.04377914E4,-3.75790976E2,-1.47248780E2,-3.79038856E1,3.67680240E2
