step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,4.51926468E3,7.50019884E4,4.61457776E3,-2.98643848E3,8.31770992,2.95805240E3
2,1.25340604E-4,6.34639312E3,-1.31197930E4,6.39149904E3,-1.15637493E3,-1.79243840E1,1.22339880E3
3,1.88010920E-4,4.05817366E3,5.96066328E4,4.30055762E3,-4.93621584E3,-8.70366576,5.07117844E3
4,2.50681208E-4,1.78413736E3,1.02848935E5,2.20823002E3,-4.93130112E3,9.48562048,4.98844624E3
5,3.13351512E-4,6.63297416E3,4.89525224E4,6.90414144E3,-1.89465080E3,-4.08807611,1.93341240E3
6,3.76021840E-4,8.67629720E3,2.02510023E4,8.70615384E3,-2.91341304E3,8.85996056,3.09388351E3
7,4.38692140E-4,2.54036808E3,5.13451958E4,2.71230864E3,-5.14269400E3,1.73434056E1,5.28668786E3
8,5.01362419E-4,8.70918176E2,5.68752624E4,1.23885428E3,-3.12775397E3,-1.42573392E1,3.16132689E3
9,5.64032744E-4,7.50438548E3,3.30164980E4,7.81347896E3,-1.20313012E3,-3.53938960,1.42304576E3
10,6.26703024E-4,8.86135384E3,3.25935746E4,9.05702591E3,-3.01631403E3,5.75597240,3.38706948E3
11,6.89373352E-4,1.67842768E3,4.15483761E4,1.93699680E3,-3.87633776E3,-4.78330568E1,4.02642536E3
12,7.52043676E-4,-7.55733824E2,4.00482035E4,-3.82808400E2,-2.30979204E3,-6.86372856E1,2.34002948E3
13,8.14713955E-4,4.37236404E3,3.88261248E4,4.72994992E3,-1.89116560E3,-3.43568300E1,2.21109724E3
14,8.77384280E-4,5.95229912E3,2.94610240E4,6.31907224E3,-1.87680496E3,-3.60830236E1,2.36548400E3
15,9.40054512E-4,7.53188132E2,1.67036868E4,1.16465187E3,-6.66143608E2,-4.96471456E1,8.87295912E2
16,1.00272489E-3,-1.39705552E3,2.61772608E4,-1.02519441E3,-7.56027700E2,-3.95045736E1,8.30752086E2
17,1.06539512E-3,3.21059656E3,3.45533656E4,3.58000992E3,-1.89158904E3,-3.25244332E1,2.21675730E3
18,1.12806547E-3,5.49432228E3,1.56660996E4,5.84631584E3,-6.72600272E2,-7.52514412E1,1.09510589E3
19,1.19073570E-3,1.29701900E3,1.03720904E4,1.55250072E3,8.87161256E2,-7.40829992E1,-7.56177948E2
20,1.25340604E-3,-1.45169784E3,3.26965786E4,-1.20343578E3,-6.42724276E2,2.55288244,5.70117048E2
21,1.31607640E-3,2.08618784E3,2.83165216E4,2.54903340E3,-2.01634669E3,2.38777612E1,2.05665040E3
22,1.37874664E-3,5.54670860E3,1.16287804E3,6.13603067E3,-3.22425938E2,-4.02188873E1,4.71301176E2
23,1.44141696E-3,2.49178672E3,1.37959312E4,2.93349144E3,6.17990016E2,-5.72608944E1,-5.79245856E2
24,1.50408732E-3,-1.76460680E3,4.23224020E4,-1.40910520E3,-1.03045213E3,-1.45848512E1,9.56276704E2
25,1.56675756E-3,7.66641044E2,2.14089537E4,1.33556308E3,-1.50611460E3,9.67236808,1.49639680E3
26,1.62942780E-3,5.30716038E3,-7.12277842E3,6.03340292E3,-2.34861708E2,-5.42752696,3.41909504E2
27,1.69209824E-3,3.60338448E3,1.97191712E4,4.28811646E3,-4.93766400E2,-1.26803816,5.33295966E2
28,1.75476848E-3,-3.53186800E2,4.59606696E4,2.67566560E2,-1.56437920E3,2.38656400E1,1.45213676E3
29,1.81743888E-3,1.29465186E3,1.70381952E4,1.86811576E3,-1.12867129E3,2.18045306E1,1.09364247E3
30,1.88010904E-3,5.40240336E3,-2.53290580E3,6.03303146E3,-9.85702608E2,3.66801856,1.16184783E3
31,1.94277944E-3,3.93472840E3,2.79226920E4,4.71636536E3,-2.08872962E3,1.53016304E1,2.22888040E3
32,2.00544977E-3,-9.05914021E1,4.21532344E4,7.19304656E2,-1.92696416E3,3.59852980E1,1.89327072E3
33,2.06812001E-3,1.61029912E3,1.27092778E4,2.26068854E3,-8.04821587E2,4.45639468E1,8.79951288E2
34,2.13079023E-3,5.35782052E3,1.86974016E3,5.89254520E3,-1.48368848E3,3.98557448E1,1.79128288E3
35,2.19346070E-3,3.43112756E3,2.64327264E4,4.06999684E3,-2.63993764E3,3.05896497E1,2.87836336E3
