step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.18346738E3,3.57263400E4,5.78191760E2,-1.40853728E2,6.23590518E1,1.04180515E3
2,1.25340604E-4,7.36067056E3,-8.96343136E3,-1.58535076E3,3.32300138E2,2.05447293E2,6.10615826E2
3,1.88010920E-4,7.69179536E3,9.35278796E3,4.17127418E2,-1.14100230E2,8.61756516E1,1.08350504E3
4,2.50681208E-4,4.12743282E3,3.40836404E4,3.67718480E3,-6.76294184E2,-1.33136106E2,1.13779771E3
5,3.13351512E-4,4.96846248E3,2.27173566E4,4.24973774E3,-5.06398106E2,-1.26912022E2,9.70795728E2
6,3.76021840E-4,9.25676632E3,3.65373348E3,1.42092252E3,-5.56770708E1,1.36984908E1,1.04003120E3
7,4.38692140E-4,8.15272236E3,1.11877680E4,-6.18213796E2,-1.08455908E2,1.53706788E1,1.03247726E3
8,5.01362419E-4,1.88477136E3,2.11289930E4,8.15488529E2,-3.20214962E2,-3.23108650E1,6.00747681E2
9,5.64032744E-4,1.21745778E3,9.12814140E3,2.87159296E3,-1.84295392E2,-2.49350000,3.68345568E2
10,6.26703024E-4,5.64290380E3,-1.17976916E3,2.13427138E3,-5.95814608E1,1.65548600E1,6.37480164E2
11,6.89373352E-4,6.16636467E3,1.02652931E4,-1.50365804E2,-1.70088600E2,-6.03015471E-1,8.12551880E2
12,7.52043676E-4,3.33763576E3,2.13669467E4,-4.74385496E2,-1.56491136E2,1.66210176E1,6.52389812E2
13,8.14713955E-4,2.39467096E3,8.81959056E3,1.04735899E3,7.63554384E1,6.16649532E1,2.44040656E2
14,8.77384280E-4,3.42155148E3,-5.15330839E3,1.98985192E3,9.90542504E1,4.19495488E1,-4.17825032E1
15,9.40054512E-4,2.81737208E3,3.59497716E3,1.57876120E3,-1.85091200E2,-5.28775358E1,1.24523616E2
16,1.00272489E-3,1.81380392E3,1.53189932E4,7.19204522E2,-2.86410640E2,-7.23865842E1,4.53655528E2
17,1.06539512E-3,3.80779912E3,6.52247000E3,4.82008456E2,7.36001728,3.34009028E1,4.76776648E2
18,1.12806547E-3,4.98603104E3,-4.87324048E3,1.03090751E3,1.63356400E2,9.80640408E1,1.75962152E2
19,1.19073570E-3,2.73115536E3,4.65626288E3,1.36559416E3,-1.04115260E2,1.13269603E1,7.09395742E1
20,1.25340604E-3,1.25627100E3,1.50594912E4,8.79733184E2,-2.74405264E2,-7.15299606E1,2.80155536E2
21,1.31607640E-3,3.63714076E3,3.92721816E3,6.56828976E2,-5.02138090E1,-2.52238108E1,4.28728008E2
22,1.37874664E-3,6.01332045E3,-6.15910530E3,1.10320055E3,9.52924632E1,4.76808312E1,4.73735856E2
23,1.44141696E-3,4.05505324E3,4.60577536E3,1.10903835E3,-1.20120370E2,-1.12512374,4.89554312E2
24,1.50408732E-3,1.68100896E3,1.39511980E4,8.60438252E2,-3.09552240E2,-7.70774696E1,4.22330332E2
25,1.56675756E-3,3.41586756E3,2.59256436E3,1.22224462E3,-1.53069736E2,-3.42949916E1,3.28091002E2
26,1.62942780E-3,5.55573080E3,-7.34496164E3,1.47278060E3,3.91030192E1,4.82465648E1,3.91482880E2
27,1.69209824E-3,3.81314088E3,3.65571452E3,9.19748878E2,-7.83161024E1,2.60650968E1,5.50401400E2
28,1.75476848E-3,1.17445910E3,1.33113492E4,5.22855998E2,-2.59034132E2,-3.54600764E1,5.14279413E2
29,1.81743888E-3,2.55763960E3,2.28508878E3,8.08388710E2,-1.47677840E2,-8.30795670,3.77617360E2
30,1.88010904E-3,4.57230568E3,-8.06583786E3,1.09842050E3,3.42527652E1,4.49999952E1,3.26340746E2
31,1.94277944E-3,2.35239292E3,1.45803668E3,8.01179981E2,-3.92135096E1,2.94659088E1,2.78189088E2
32,2.00544977E-3,-8.05930138E1,1.14805365E4,3.95090224E2,-1.95172192E2,-1.09422386E1,2.36134720E2
33,2.06812001E-3,1.76950320E3,2.11393976E3,5.70278408E2,-1.34148360E2,-1.55744564E1,2.42195916E2
34,2.13079023E-3,3.78066824E3,-8.21877862E3,8.51588440E2,1.00720251E1,1.10548532E1,2.28662420E2
35,2.19346070E-3,1.63813340E3,2.14441681E2,5.46957064E2,-2.00931096E1,2.39518048E1,1.83627376E2
36,2.25613094E-3,-6.91528560E2,1.00153625E4,1.34220244E2,-1.10133171E2,1.75129856E1,1.41639304E2
37,2.31880140E-3,1.00685024E3,1.92630088E3,2.70062968E2,-3.06304074E1,8.86838440,1.01009810E2
38,2.38147140E-3,2.89589568E3,-7.38700104E3,6.13301563E2,5.31675672E1,1.07724691,7.67140960E1
39,2.44414188E-3,1.23604476E3,6.19862366E2,3.48114444E2,-3.32484102E1,-8.05718613,1.38018764E2
40,2.50681208E-3,-5.46555520E2,9.47639656E3,-7.43781900E1,-9.77874944E1,-7.23922920,1.99939312E2
41,2.56948232E-3,9.31438732E2,1.14145350E3,2.54265000E2,7.21611882,6.71353480,1.27418352E2
42,2.63215280E-3,2.53777812E3,-7.43048620E3,6.86628768E2,6.03127623E1,4.22164298,6.23003864E1
43,2.69482328E-3,1.07877767E3,1.12531221E3,3.24890232E2,-7.97804216E1,-3.13651919E1,1.59109412E2
44,2.75749328E-3,-3.78507352E2,9.95274256E3,-7.61633016E1,-1.56151868E2,-3.72341224E1,2.58408808E2
45,2.82016376E-3,1.11900878E3,1.70538328E3,2.21900750E2,-6.85202168,8.52126120,1.99066008E2
46,2.88283392E-3,2.51820324E3,-6.86410376E3,4.95273592E2,8.11979580E1,3.67683152E1,1.31917584E2
47,2.94550440E-3,9.38282776E2,1.31376826E3,1.69576456E2,-6.97345352E1,3.73102544,2.05496192E2
48,3.00817466E-3,-6.87497376E2,9.66815376E3,-6.12738180E1,-1.74495944E2,-1.79230104E1,2.78452304E2
49,3.07084465E-3,8.35953140E2,1.57744860E3,1.99357712E2,-3.87997624E1,1.45131100E1,2.36622716E2
50,3.13351512E-3,2.43696476E3,-6.52663804E3,2.89496616E2,7.48629904E1,4.04430533E1,1.69860480E2
51,3.19618558E-3,7.51668976E2,1.32344520E3,-6.52403404,-4.08817720E1,1.43773256E1,1.55181348E2
52,3.25885558E-3,-1.02638114E3,9.07996464E3,-9.52978420E1,-1.59498824E2,-1.15408027E1,1.68980456E2
53,3.32152606E-3,4.56726696E2,9.89628504E2,1.77591776E2,-6.18785620E1,3.03486037,1.71241680E2
54,3.38419652E-3,2.03415322E3,-6.97759104E3,2.95693592E2,6.36665104E1,2.45904636E1,1.47452868E2
55,3.44686700E-3,3.90044328E2,8.11885738E2,-3.42869616E1,7.05940628E-3,1.11763513E1,1.08979785E2
56,3.50953700E-3,-1.31238472E3,8.65120888E3,-2.90207672E2,-1.08023274E2,-6.22328090,8.05247116E1
57,3.57220744E-3,2.00587440E2,7.64385224E2,4.21177340E1,-4.47160100E1,4.75756696,6.60495232E1
58,3.63487768E-3,1.75954840E3,-7.22422648E3,3.92397904E2,6.28361368E1,2.03041816E1,6.41002608E1
59,3.69754792E-3,3.03477621E2,3.71048856E2,6.88738968E1,1.37426008E1,6.75591896,9.13144875E1
60,3.76021816E-3,-1.16352546E3,8.22577954E3,-3.28617526E2,-8.82617472E1,-1.20436228E1,1.12805176E2
