step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,-3.62035156E3,5.30648280E4,3.65004228E3,1.30380142E3,-4.81616880,1.32136560E3
2,1.25340604E-4,-1.94674072E3,-1.41176488E4,2.00009155E3,2.91485048E2,1.14478958E1,3.16797042E2
3,1.88010920E-4,-8.64683436E3,1.39766336E4,8.67470552E3,1.38223684E3,-3.60419344E1,1.35621988E3
4,2.50681208E-4,-1.11580276E4,5.43074512E4,1.11698055E4,1.96172904E3,-4.96323208E1,1.93002448E3
5,3.13351512E-4,-9.96446136E3,3.91393968E4,9.96603392E3,1.50440536E3,-5.25485658,1.54253088E3
6,3.76021840E-4,-5.85084344E3,3.41763616E3,5.85010864E3,8.42154408E2,9.53802492,9.20825386E2
7,4.38692140E-4,-2.30496668E3,7.25041152E3,2.32885408E3,7.27241516E2,-2.27481270E1,7.47447492E2
8,5.01362419E-4,-6.82395176E3,3.09256172E4,6.82319208E3,1.32736350E3,-3.39900088E1,1.29036080E3
9,5.64032744E-4,-1.16841948E4,2.66950132E4,1.16371047E4,1.56854128E3,-7.11166000,1.57582760E3
10,6.26703024E-4,-7.14710188E3,8.96622752E3,7.13172531E3,9.30513858E2,2.50057484E1,9.80395128E2
11,6.89373352E-4,-3.43257188E2,1.28189194E4,3.42717768E2,4.48954344E2,1.55720068E1,4.50080920E2
12,7.52043676E-4,-1.62323248E3,2.61365104E4,1.58601796E3,7.47609472E2,-2.24886822E1,7.05854416E2
13,8.14713955E-4,-7.03433991E3,1.72562336E4,7.02798844E3,8.36387824E2,-2.26739192E1,8.50549888E2
14,8.77384280E-4,-6.16576719E3,4.63042640E2,6.19698572E3,2.63604356E2,1.35681104E1,3.30865192E2
15,9.40054512E-4,-1.19591808E3,6.57351256E3,1.13387954E3,7.69812968,2.34108140E1,3.03712535E1
16,1.00272489E-3,-9.95186424E2,2.00784206E4,9.06407452E2,3.49816060E2,3.96119856,3.03661943E2
17,1.06539512E-3,-3.87021568E3,1.21556162E4,3.90778616E3,4.04978657E2,-5.01290798,3.99322104E2
18,1.12806547E-3,-4.46140192E3,6.75732088E2,4.52995540E3,9.67494872E1,2.06533075,1.66099764E2
19,1.19073570E-3,-3.02604842E3,1.05382777E4,2.96099736E3,1.16063285E2,-6.48489760,1.28655434E2
20,1.25340604E-3,-1.14321470E3,1.91004280E4,1.05182410E3,2.49917244E2,-2.23293948E1,1.83077384E2
21,1.31607640E-3,-1.68874776E3,4.58087064E3,1.71631936E3,1.71363032E2,-4.01448250,1.63753188E2
22,1.37874664E-3,-4.77125744E3,-4.11368132E3,4.81938648E3,2.13160539E2,1.95835272E1,2.77829288E2
23,1.44141696E-3,-4.63727616E3,1.12191463E4,4.57630348E3,2.55164720E2,4.91043472,2.58860112E2
24,1.50408732E-3,-1.55174328E3,1.93587888E4,1.47203052E3,1.47220252E2,-1.76687168E1,8.11136246E1
25,1.56675756E-3,-2.34881948E3,2.15187073E3,2.39838768E3,2.22562432E2,-5.77785112,2.21931768E2
26,1.62942780E-3,-5.83830408E3,-8.08284188E3,5.92086552E3,5.04630041E2,9.84612080,5.69639680E2
27,1.69209824E-3,-5.62278368E3,9.78211880E3,5.58035232E3,5.99420408E2,1.94617000,5.95466040E2
28,1.75476848E-3,-2.95785120E3,2.22076822E4,2.87775040E3,4.56943988E2,-7.62453508,3.85057832E2
29,1.81743888E-3,-2.82978272E3,4.05780268E3,2.86442376E3,3.81261728E2,-4.70674416,3.76002624E2
30,1.88010904E-3,-4.85000368E3,-1.08130539E4,4.92929600E3,5.20460606E2,-5.97769024,5.93297056E2
31,1.94277944E-3,-5.62046576E3,4.74414440E3,5.57863760E3,6.82087568E2,-8.71705440,7.01103687E2
32,2.00544977E-3,-4.31340026E3,1.97426712E4,4.20817090E3,5.96505216E2,1.00730085E-1,5.48351860E2
33,2.06812001E-3,-2.58585928E3,4.82537416E3,2.60146356E3,3.26211476E2,7.36021660,3.03159166E2
34,2.13079023E-3,-2.42880012E3,-1.09869373E4,2.55849456E3,2.95691224E2,-4.50097896,3.19209456E2
35,2.19346070E-3,-4.09618425E3,2.31520700E3,4.12230492E3,5.91071272E2,-1.64501404E1,6.18047524E2
36,2.25613094E-3,-4.52266644E3,1.75645696E4,4.40835000E3,6.48207664E2,-1.15139759E1,6.38968752E2
37,2.31880140E-3,-2.03941441E3,4.64101744E3,2.01796913E3,2.28058838E2,-1.01261783,2.16907764E2
38,2.38147140E-3,-6.91611192E2,-1.05048037E4,7.89065408E2,2.09060359E1,-4.36354448,4.24747228E1
39,2.44414188E-3,-2.67134664E3,9.78655816E2,2.68813040E3,3.45596768E2,-1.76168192E1,3.51445244E2
40,2.50681208E-3,-3.54741288E3,1.45422448E4,3.47289084E3,4.75120064E2,-2.47762416E1,4.40168716E2
41,2.56948232E-3,-1.31462968E3,2.73902776E3,1.29562532E3,1.74975392E1,-1.38101924E1,2.36039948
42,2.63215280E-3,8.61196136E1,-1.03721130E4,-4.30839444E1,-2.86272880E2,5.26842212,-2.62249376E2
43,2.69482328E-3,-9.38752080E2,2.80055616E2,9.04382229E2,-1.25157594E1,1.03740871E1,-8.74733640
44,2.75749328E-3,-2.02560592E3,1.23959244E4,1.93380264E3,2.52247860E2,4.51345776E-1,2.17875362E2
45,2.82016376E-3,-1.76095224E3,2.44204044E3,1.78143904E3,3.00822330E1,-3.51954676,3.34898068E1
46,2.88283392E-3,-5.32899762E2,-9.00276661E3,6.34930180E2,-2.80940888E2,1.03803623E1,-2.46115064E2
47,2.94550440E-3,1.00083578E2,3.22388410E2,-1.03000200E2,-1.55010284E2,2.00967884E1,-1.75044216E2
48,3.00817466E-3,-1.17314016E3,1.13726473E4,1.09564400E3,1.83038568E2,1.27541292E1,1.35468124E2
49,3.07084465E-3,-2.38318612E3,2.02014399E3,2.41160296E3,1.49196780E2,5.97921320,1.63356364E2
50,3.13351512E-3,-1.11288154E3,-8.63054180E3,1.24555456E3,-1.65493892E2,5.88883112,-1.23479486E2
51,3.19618558E-3,3.53706860E2,1.03438628E3,-3.11712432E2,-1.64930572E2,6.68286088,-1.77655136E2
52,3.25885558E-3,-7.51702692E2,1.18418408E4,6.81023408E2,1.64134336E2,9.86444184,1.19114458E2
53,3.32152606E-3,-2.36672496E3,2.04369712E3,2.33911992E3,2.63327504E2,1.45537532E1,2.67724064E2
54,3.38419652E-3,-1.75678160E3,-8.36848260E3,1.81957136E3,6.92244960E1,1.14782727E1,1.10545504E2
55,3.44686700E-3,-3.74332688E2,2.10705471E3,4.11946630E2,1.25320458E1,6.14691067,1.56210268E1
56,3.50953700E-3,-4.88003920E2,1.28594816E4,4.57312344E2,1.87374080E2,8.07309056,1.55906152E2
57,3.57220744E-3,-1.49081100E3,2.26288200E3,1.49814500E3,2.78607440E2,1.24822318E1,2.84148720E2
58,3.63487768E-3,-1.79118240E3,-8.23928738E3,1.86572064E3,2.04142070E2,1.22639048E1,2.51086688E2
59,3.69754792E-3,-1.00407934E3,2.32923626E3,1.03162491E3,1.33990096E2,8.98842240,1.46823548E2
60,3.76021816E-3,-4.61786272E1,1.26604354E4,2.16398358E1,1.21111524E2,8.43687152,8.98764416E1
61,3.82288840E-3,-3.94698216E2,2.06605125E3,4.45249892E2,1.40791024E2,1.34114468E1,1.41035236E2
62,3.88555888E-3,-1.62406288E3,-8.17201520E3,1.73935664E3,1.97215448E2,1.60888040E1,2.40953396E2
63,3.94822928E-3,-1.38421000E3,1.81512488E3,1.41456472E3,1.83274424E2,1.15236223E1,1.93956176E2
64,4.01089954E-3,1.05954135E2,1.16880798E4,-1.40918864E2,6.83066176E1,1.11483371E1,3.69381568E1
65,4.07356930E-3,2.59893704E2,1.87568344E3,-1.91373560E2,1.66815092E1,1.51433276E1,2.03628516E1
66,4.13624001E-3,-8.67538072E2,-8.01674080E3,1.00102973E3,8.28571224E1,1.67481160E1,1.26539778E2
67,4.19891024E-3,-9.70985600E2,1.02525091E3,1.02019405E3,1.16756308E2,1.35800208E1,1.18244624E2
