step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,3.04196048E2,3.41966368E4,-3.11650419E3,-5.83062744E2,3.65203452E1,-8.51017000E-1
2,1.25340604E-4,3.06761956E3,-8.78954032E3,-4.35259916E3,-3.98863104E2,8.37812328E1,-3.58550716E2
3,1.88010920E-4,-6.92315480E2,3.86367608E3,-3.97058536E3,-4.51799012E2,-3.41848112E1,-1.55118932E1
4,2.50681208E-4,-4.93876888E3,2.67869736E4,-2.40338660E3,-4.71073344E2,-1.22872626E2,4.76873544E2
5,3.13351512E-4,-3.23000764E3,2.08368635E4,-3.76070192E3,-5.94041256E2,-4.69774864E1,3.98744272E2
6,3.76021840E-4,9.86847784E2,4.64587356E3,-4.98424480E3,-5.69319488E2,3.34646488E1,2.53046416E1
7,4.38692140E-4,-2.97185448E2,7.04034948E3,-2.90925480E3,-3.42494368E2,-3.63584208E1,4.06156302E1
8,5.01362419E-4,-3.63360260E3,1.43591808E4,-9.50168516E2,-2.17265606E2,-9.13231564E1,2.25172710E2
9,5.64032744E-4,-1.89459192E3,8.69994544E3,-2.57273840E3,-3.36400272E2,6.84864760E-1,1.05146599E2
10,6.26703024E-4,1.37836696E3,2.40635012E3,-4.36609508E3,-4.53368712E2,6.58543108E1,-9.04570294E1
11,6.89373352E-4,4.91742512E2,7.47417928E3,-2.17006350E3,-3.01667142E2,-7.33781816,-1.95331040E1
12,7.52043676E-4,-1.47469188E3,1.40061580E4,-4.17719888E1,-8.94264504E1,-6.87498424E1,7.90325928E1
13,8.14713955E-4,2.82901048E1,8.84890176E3,-1.93811632E3,-1.00008774E2,1.24052608E1,-7.24959326E1
14,8.77384280E-4,1.30717564E3,1.34825300E2,-3.07894635E3,-1.60841168E2,9.31003284E1,-1.87072096E2
15,9.40054512E-4,-1.04952979E3,2.77311944E3,-7.47681524E2,-7.66017008E1,-1.26016914E1,2.38990020E1
16,1.00272489E-3,-2.49475264E3,9.17901898E3,8.20377254E1,-2.43318392E1,-1.06757486E2,2.03001285E2
17,1.06539512E-3,-1.40363060E1,4.48964120E3,-2.41983844E3,-1.30834222E2,2.60811020E1,-7.00949907
18,1.12806547E-3,1.79590264E3,-1.74270120E3,-3.22083640E3,-1.89863704E2,1.46546568E2,-2.04608703E2
19,1.19073570E-3,-5.57858372E2,4.73387864E3,-8.45333384E2,-1.03834832E2,3.15621519E1,4.43705128
20,1.25340604E-3,-2.87821696E3,1.06601084E4,-1.77488088E2,-6.41182804E1,-9.25394916E1,1.90615824E2
21,1.31607640E-3,-1.00077522E3,1.47106028E3,-2.60377024E3,-1.77574968E2,9.02053261,-1.82167016E1
22,1.37874664E-3,1.51711620E3,-5.67325112E3,-3.78488656E3,-3.02300096E2,1.16750169E2,-1.85354688E2
23,1.44141696E-3,1.38392544E2,3.76306512E3,-1.82289944E3,-2.45322872E2,6.53266716,5.61174200E1
24,1.50408732E-3,-2.45087816E3,1.06321848E4,-2.95200944E2,-1.13294268E2,-9.68522552E1,2.46571900E2
25,1.56675756E-3,-1.78739640E3,6.37141656E2,-2.16872072E3,-1.86255408E2,8.49784280,2.98316192E1
26,1.62942780E-3,5.78448056E2,-6.70784136E3,-3.97696352E3,-3.26347042E2,9.96634960E1,-1.79702160E2
27,1.69209824E-3,3.30675316E2,2.78303096E3,-2.07537532E3,-2.58388280E2,7.75370120E-1,-2.05006933E1
28,1.75476848E-3,-1.51268552E3,1.02139032E4,1.27009034E2,-1.27326584E2,-9.53594400E1,1.77320584E2
29,1.81743888E-3,-8.90339376E2,6.06351567E2,-1.31409848E3,-1.71427384E2,-9.48926260,5.11095953E1
30,1.88010904E-3,5.29150200E2,-7.57123660E3,-3.29026842E3,-2.52569508E2,8.46503068E1,-1.26117516E2
31,1.94277944E-3,-5.51698924E2,1.01413274E3,-1.50879468E3,-1.35231100E2,9.74142360,-3.42229056E1
32,2.00544977E-3,-1.44120584E3,9.54254056E3,9.85224344E2,2.53280568E1,-8.20623302E1,1.01240790E2
33,2.06812001E-3,2.65031672E2,1.82813288E3,-5.60710812E2,-5.50459288E1,-1.48936116E1,1.69975744E1
34,2.13079023E-3,1.12475717E3,-7.05172444E3,-2.78664472E3,-1.82572176E2,7.37757492E1,-1.11364651E2
35,2.19346070E-3,-9.31350898E2,-8.82130432E2,-9.38816072E2,-6.81607536E1,9.58402156,-3.54201008E1
36,2.25613094E-3,-1.87316928E3,7.60562612E3,1.39661348E3,7.40565632E1,-7.22500562E1,7.17286252E1
37,2.31880140E-3,4.77335024E2,2.46474528E3,-1.82126752E2,-2.45505572,3.59460996,-3.90258192E1
38,2.38147140E-3,1.70416280E3,-5.12316656E3,-2.13881159E3,-8.78459072E1,8.87496760E1,-1.64024244E2
39,2.44414188E-3,-4.49832724E2,-3.23455334E2,-5.99860576E2,4.30439662,1.08377874E1,-4.43638752E1
40,2.50681208E-3,-1.77751696E3,6.55515672E3,1.07914365E3,6.15396023E1,-7.23196554E1,7.75630808E1
41,2.56948232E-3,7.58487700E1,1.53799916E3,-3.98996520E2,-5.75523328E1,7.83239504,-4.08546352E1
42,2.63215280E-3,1.45055436E3,-4.67944912E3,-1.76342568E3,-1.27992904E2,8.72616480E1,-1.47145904E2
43,2.69482328E-3,-1.76790512E2,8.16395569E2,-3.28782440E2,-3.09479451E1,-1.86800632,-8.80351928
44,2.75749328E-3,-1.59188080E3,6.94275904E3,7.38728000E2,2.05679107E1,-8.52521800E1,9.68206976E1
45,2.82016376E-3,-4.80531024E1,1.34942556E3,-7.03230333E2,-8.09209347E1,7.14552975,-5.24179364E1
46,2.88283392E-3,1.43845604E3,-4.42847824E3,-1.68993208E3,-1.49583520E2,9.42804528E1,-1.53548432E2
47,2.94550440E-3,-1.55293012E2,1.22069240E3,-3.12741351E2,-7.76722672E1,1.54451276,1.27627004E1
48,3.00817466E-3,-1.74760688E3,6.74445440E3,7.02604675E2,-1.66943168E1,-8.39989568E1,1.14769173E2
49,3.07084465E-3,-3.79857704E1,8.76786520E2,-5.58758736E2,-8.16149616E1,8.60399056,-5.77060272E1
50,3.13351512E-3,1.76283776E3,-4.32552862E3,-1.55118560E3,-1.35330640E2,9.58726408E1,-1.70868448E2
51,3.19618558E-3,1.22257150E2,1.84640680E3,-2.54888440E2,-5.30554724E1,6.87627456,-4.63423108
52,3.25885558E-3,-1.73597552E3,6.97403432E3,9.37961484E2,3.41436316E1,-8.04769707E1,1.21929442E2
53,3.32152606E-3,-1.42930032E2,2.74647192E2,-1.81307768E2,-2.87734768E1,3.65240072,-2.56469940E1
54,3.38419652E-3,1.73397504E3,-5.20152044E3,-1.37627400E3,-1.12936962E2,9.42765332E1,-1.64960624E2
55,3.44686700E-3,2.72285816E2,1.53666244E3,-8.29489326E1,-2.13063264E1,1.69467440E1,-2.99362448E1
