step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.20796346E3,4.61830664E4,-2.75133344E3,8.77283288E2,-5.58103560E1,1.68329848E3
2,1.25340604E-4,6.86595488E3,-9.07100964E3,-1.81705416E3,-1.54060292E1,-2.81060504E2,5.98651888E2
3,1.88010920E-4,1.14707887E4,1.61677752E4,-5.13414478E3,1.04577148E3,-1.07969117E2,1.80049632E3
4,2.50681208E-4,8.52195548E3,4.92922112E4,-7.23248768E3,1.73641512E3,2.52711748E2,2.30369234E3
5,3.13351512E-4,5.76566408E3,3.44378160E4,-6.49859764E3,1.11328351E3,2.71002008E2,1.59834780E3
6,3.76021840E-4,8.53213788E3,8.02118969E3,-3.67217328E3,5.19402600E2,-5.04549790E1,1.19011712E3
7,4.38692140E-4,1.05415917E4,1.61852632E4,-2.09284163E3,8.62623596E2,-1.71873752E2,1.68722424E3
8,5.01362419E-4,6.87250280E3,2.91419552E4,-3.31790042E3,1.10604012E3,1.24225522E1,1.74472264E3
9,5.64032744E-4,4.18400430E3,1.72801888E4,-5.50542880E3,6.39198352E2,1.39108728E2,1.04480970E3
10,6.26703024E-4,6.42544412E3,6.92782448E3,-5.54050112E3,3.96385120E2,1.21677030E2,9.28174114E2
11,6.89373352E-4,7.20393228E3,1.66131224E4,-2.68443656E3,7.29449892E2,2.45504760E1,1.36996556E3
12,7.52043676E-4,4.99202200E3,2.46671176E4,-8.53960800E2,8.15492058E2,-3.72096560E1,1.24481774E3
13,8.14713955E-4,3.71887752E3,1.26319528E4,-2.17267274E3,2.28712678E2,2.98902920,5.07710600E2
14,8.77384280E-4,4.09214211E3,1.51311624E3,-3.53602864E3,-1.52319576E2,3.60532688E1,1.68969920E2
15,9.40054512E-4,3.39939380E3,9.92257592E3,-2.38920116E3,2.73753384E2,5.65515660E1,3.75808952E2
16,1.00272489E-3,2.31877184E3,1.87845776E4,-1.28589522E3,6.86366128E2,1.10402119E2,4.92363072E2
17,1.06539512E-3,3.64815496E3,9.47676276E3,-2.37624312E3,3.27837062E2,9.60771464E1,3.51150608E2
18,1.12806547E-3,4.82324936E3,-7.95428992E1,-3.27706122E3,-1.16062081E2,8.58211804,2.31897092E2
19,1.19073570E-3,3.54803540E3,9.62609960E3,-2.25796104E3,1.42223656E2,-5.76792816E1,4.06540537E2
20,1.25340604E-3,2.36733604E3,1.78663408E4,-9.60986044E2,4.73403600E2,-7.09172678E1,5.15640974E2
21,1.31607640E-3,4.03692627E3,6.15462780E3,-1.47109868E3,2.43007064E2,-2.69013856E1,3.53855420E2
22,1.37874664E-3,6.09213400E3,-1.88836704E3,-2.74619056E3,2.40238308E1,2.43431116E1,3.16836334E2
23,1.44141696E-3,4.50737904E3,9.85059640E3,-2.49267580E3,2.94871232E2,3.40166448E1,4.49357700E2
24,1.50408732E-3,2.66214824E3,1.78850672E4,-2.04785156E3,5.84854648E2,-7.77627376,6.14219999E2
25,1.56675756E-3,4.40572404E3,5.35425616E3,-3.06921840E3,4.48444604E2,-4.86078552E1,6.74341728E2
26,1.62942780E-3,6.29404402E3,-4.33026504E3,-3.68592144E3,2.49531936E2,1.76813832,6.21220254E2
27,1.69209824E-3,5.18475962E3,7.97160432E3,-2.48709464E3,4.08132792E2,4.87602616E1,6.78883168E2
28,1.75476848E-3,3.51383520E3,1.83269488E4,-1.45731628E3,5.88817120E2,-1.28036332E1,7.96629568E2
29,1.81743888E-3,4.31435060E3,6.31201362E3,-2.38940500E3,4.34949828E2,-6.76169968E1,7.77093744E2
30,1.88010904E-3,5.46153496E3,-5.06375313E3,-3.61417700E3,2.88154080E2,-2.19946766E1,6.98714592E2
31,1.94277944E-3,4.33664084E3,4.68754104E3,-2.93510696E3,4.58515356E2,5.27825118E1,7.38353012E2
32,2.00544977E-3,3.01130462E3,1.52711320E4,-1.69301224E3,5.83288336E2,6.96537352E1,7.51193668E2
33,2.06812001E-3,3.55818724E3,5.58454656E3,-1.92814640E3,3.48494672E2,1.73552064E1,5.70359608E2
34,2.13079023E-3,4.20973778E3,-5.33180094E3,-2.65868712E3,1.64999568E2,-1.77139112E1,4.66280604E2
35,2.19346070E-3,3.00582480E3,3.08532810E3,-2.05573225E3,3.38003444E2,1.76114920,5.84638784E2
36,2.25613094E-3,1.63600540E3,1.27230274E4,-1.00522506E3,4.34385872E2,1.79130448E1,5.62780856E2
37,2.31880140E-3,2.13524079E3,3.77724888E3,-1.16606331E3,1.64823580E2,4.42585848,2.82513736E2
38,2.38147140E-3,2.86992768E3,-6.18804074E3,-1.70932232E3,-1.43946636E1,-9.37630272,1.60093532E2
39,2.44414188E-3,2.06587649E3,1.96636448E3,-1.10369980E3,1.96843192E2,3.03817892,3.29594922E2
40,2.50681208E-3,9.09887695E2,1.09638560E4,-3.49123956E2,3.21058034E2,1.00364578E1,3.59305716E2
41,2.56948232E-3,1.13729000E3,2.24280906E3,-8.12589741E2,5.33166456E1,-2.19699574E1,1.00959337E2
42,2.63215280E-3,1.87961992E3,-6.70809648E3,-1.36324500E3,-1.06522823E2,-2.68639896E1,-3.14578080E1
43,2.69482328E-3,1.38083256E3,1.58605348E3,-6.92909000E2,1.28050148E2,1.82031288E1,1.37206328E2
44,2.75749328E-3,6.47823240E2,1.02343321E4,-5.37649776E1,2.83941392E2,2.61380268E1,2.71266984E2
45,2.82016376E-3,1.16908110E3,2.04054523E3,-6.70539096E2,6.85525992E1,-2.61927628E1,1.38997520E2
46,2.88283392E-3,1.77482248E3,-6.29029990E3,-1.27730942E3,-8.10821915E1,-4.81021120E1,2.91973880E1
47,2.94550440E-3,1.16381180E3,2.03284621E3,-6.32562686E2,1.39266108E2,-1.68404480E1,1.99535944E2
48,3.00817466E-3,5.36919976E2,1.03603137E4,-4.23573590E1,3.25822806E2,8.50214384,3.85633920E2
49,3.07084465E-3,1.30497396E3,2.19161224E3,-7.34471608E2,1.57067048E2,-1.03913760E-1,3.00546503E2
50,3.13351512E-3,2.07006884E3,-5.70491744E3,-1.38503492E3,3.29017640,-2.04622865E1,1.67918192E2
51,3.19618558E-3,1.24715746E3,2.59706952E3,-7.46388244E2,1.84175000E2,-1.75616680E1,2.93239400E2
52,3.25885558E-3,4.52405548E2,1.06260860E4,-1.15331244E2,3.64325976E2,8.30465412,4.85377840E2
53,3.32152606E-3,1.31862772E3,2.32102418E3,-7.32345342E2,2.23829388E2,1.77318848E1,4.24216556E2
54,3.38419652E-3,2.17218566E3,-5.71311280E3,-1.34488880E3,6.18469000E1,2.16466618,2.82617000E2
55,3.44686700E-3,1.26206112E3,2.54671240E3,-5.97933960E2,1.86747584E2,-1.29853666E1,3.41769360E2
56,3.50953700E-3,2.54595828E2,1.06095386E4,1.60053300E2,3.33267856E2,-3.30613398,4.55666876E2
57,3.57220744E-3,1.00072515E3,2.22590994E3,-5.31401062E2,2.02385736E2,9.15901756,3.81407808E2
58,3.63487768E-3,1.82103480E3,-6.11519241E3,-1.28304148E3,5.50142716E1,5.18887710,2.61484100E2
59,3.69754792E-3,8.88158896E2,1.80054496E3,-4.51857136E2,1.56705664E2,-3.87158944,2.88001752E2
60,3.76021816E-3,-1.19325424E2,9.88337232E3,5.08028317E2,2.52780984E2,-4.98879048,3.16757965E2
61,3.82288840E-3,5.82040640E2,1.75467528E3,-1.26647758E2,1.11751711E2,1.00852466,2.06702090E2
