step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,-5.21341944E3,3.55682492E4,4.71133808E2,1.59790672E2,4.23449708E1,1.06730712E3
2,1.25340604E-4,-7.38810348E3,-8.94609736E3,-1.75442016E3,-3.41722344E2,1.79017816E2,6.03854895E2
3,1.88010920E-4,-7.35452892E3,9.13836670E3,4.55614044E2,1.65498376E2,6.21100664E1,1.05079091E3
4,2.50681208E-4,-3.81091808E3,3.37338852E4,3.66975380E3,7.39516260E2,-1.47214080E2,1.09675384E3
5,3.13351512E-4,-4.95634464E3,2.25822830E4,3.94788144E3,4.89806696E2,-1.37113260E2,9.50811960E2
6,3.76021840E-4,-9.26697540E3,3.59995508E3,1.21419240E3,1.88464008E1,-7.58433724,1.01499021E3
7,4.38692140E-4,-7.87051632E3,1.10304046E4,-4.81084160E2,1.88231168E2,-3.66636588E1,9.67459296E2
8,5.01362419E-4,-1.59061752E3,2.10541916E4,9.32532692E2,4.31897926E2,-7.24998474E1,5.31173468E2
9,5.64032744E-4,-1.26967060E3,9.12134933E3,2.61832380E3,1.68070832E2,-7.95972208,3.27684164E2
10,6.26703024E-4,-5.91444496E3,-1.27667690E3,1.71536912E3,-1.61714496E1,6.86012224,6.15513468E2
11,6.89373352E-4,-6.27467108E3,1.02351213E4,-2.49251508E2,2.07144213E2,-5.21068144E1,7.87921568E2
12,7.52043676E-4,-3.10896659E3,2.14471364E4,-1.47513484E2,2.65899276E2,-6.23864650E1,5.87890192E2
13,8.14713955E-4,-2.13136029E3,8.81673528E3,1.21830594E3,-7.66261244E1,3.62642528E1,1.61470924E2
14,8.77384280E-4,-3.54922916E3,-5.27308750E3,1.67790984E3,-1.63490844E2,6.17887878E1,-7.68646384E1
15,9.40054512E-4,-2.99065784E3,3.59759760E3,1.29638302E3,1.97038784E2,-7.00795364E1,9.38928128E1
16,1.00272489E-3,-1.53308628E3,1.53969716E4,8.85058120E2,3.47333312E2,-1.31143188E2,3.72245528E2
17,1.06539512E-3,-3.45218824E3,6.49065112E3,6.50503780E2,6.36372708,-2.45676208,4.01098108E2
18,1.12806547E-3,-4.89144280E3,-4.94401888E3,8.18105220E2,-2.09237170E2,9.94631480E1,1.34257032E2
19,1.19073570E-3,-2.66340376E3,4.60570572E3,1.07068002E3,7.73907184E1,1.13710105E1,2.39240504E1
20,1.25340604E-3,-1.09716010E3,1.50391520E4,8.22041702E2,3.02602720E2,-8.54060744E1,2.31713248E2
21,1.31607640E-3,-3.45356060E3,3.87706376E3,6.71608064E2,6.37352132E1,-2.53546144E1,3.88785032E2
22,1.37874664E-3,-5.85335064E3,-6.25664950E3,9.50073624E2,-1.38018572E2,5.44605828E1,4.25495862E2
23,1.44141696E-3,-3.95416880E3,4.37716912E3,9.59646796E2,9.23672486E1,8.98631384,4.14410400E2
24,1.50408732E-3,-1.60557448E3,1.36295284E4,8.31528092E2,3.38321064E2,-6.94560960E1,3.35634136E2
