step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.29799842E1,3.45751548E4,5.56635428E3,-9.80456448E2,-5.62751864,4.31947994E1
2,1.25340604E-4,6.41912556E1,-1.00258791E4,8.25430012E3,-5.44279768E2,-3.35520124,7.93983224
3,1.88010920E-4,8.31661796E1,9.73006152E3,7.04609156E3,-1.11926758E3,-1.57287704E1,-1.16030097E1
4,2.50681208E-4,6.67458296E1,3.28527928E4,2.16803432E3,-1.14423156E3,-2.39977528E1,-1.03099108E1
5,3.13351512E-4,4.68261336E1,2.05446124E4,5.16190100E3,-1.00101399E3,-2.84125736,-6.30942964
6,3.76021840E-4,7.98181152E1,4.32938624E3,1.12356257E4,-1.14893460E3,2.19830322E1,-2.46793844E1
7,4.38692140E-4,1.30291748E2,1.34153556E4,8.62924672E3,-9.89960384E2,8.20232486,-2.82058312E1
8,5.01362419E-4,8.92796520E1,2.09201527E4,4.71211240E2,-4.16576099E2,-1.54616632E1,-4.97850800
9,5.64032744E-4,1.26382446E1,6.18672418E3,2.27334856E2,-2.57681632E2,-5.07144118,-1.31597734E1
10,6.26703024E-4,2.41176772E1,-2.89293576E3,6.71501256E3,-6.57468176E2,6.79505632,-6.01292896E1
11,6.89373352E-4,1.15137601E2,1.17073906E4,6.79558560E3,-8.17859268E2,3.50288580,-6.86322256E1
12,7.52043676E-4,1.30430948E2,2.44367836E4,2.60591340E3,-5.95595504E2,-7.06467963,-3.43178724E1
13,8.14713955E-4,5.97759488E1,9.86674024E3,2.41529536E3,-2.24533248E2,-8.15665054,-2.68051216E1
14,8.77384280E-4,1.69820200E1,-8.22233964E3,3.03038764E3,7.20498992E1,-5.70429376,-5.70382408E1
15,9.40054512E-4,2.88739464E1,1.91005608E3,2.27100492E3,-1.37400484E2,-1.30564130E1,-7.92965840E1
16,1.00272489E-3,6.77919104E1,1.77987824E4,2.60680984E3,-5.45899628E2,-2.13078976E1,-6.98641440E1
17,1.06539512E-3,9.68858048E1,8.21299266E3,4.72400520E3,-4.68462656E2,-1.91358784E1,-4.86220312E1
18,1.12806547E-3,6.04928208E1,-5.84740592E3,4.95815232E3,-8.82490064E1,-1.35643756E1,-4.11399317E1
19,1.19073570E-3,4.70119616E1,3.74068328E3,1.32509374E3,-3.68514608E1,-1.93945848E1,-5.04872084E1
20,1.25340604E-3,8.25932980E1,1.57406080E4,2.52535940E1,-3.25264668E2,-3.55681920E1,-5.60648012E1
21,1.31607640E-3,9.38769816E1,4.06833887E3,4.08509159E3,-4.47531940E2,-3.79993680E1,-4.42593004E1
22,1.37874664E-3,6.74484392E1,-7.03985739E3,7.20537568E3,-4.46657420E2,-2.25679470E1,-3.34524392E1
23,1.44141696E-3,6.48416092E1,5.64102460E3,4.66038228E3,-5.53715612E2,-1.96389416E1,-4.44364880E1
24,1.50408732E-3,8.19561290E1,1.57811068E4,3.49639248E2,-4.27495336E2,-3.93341800E1,-4.34301092E1
25,1.56675756E-3,8.76121904E1,2.60739136E3,1.51985788E3,-1.83358488E2,-4.12254143E1,-2.61569644E1
26,1.62942780E-3,7.82913824E1,-7.87122584E3,5.74484776E3,-3.48500228E2,-1.73122920E1,-4.42703532E1
27,1.69209824E-3,9.28112698E1,4.04798079E3,4.83725312E3,-6.03554392E2,-1.62144720E1,-6.29914046E1
28,1.75476848E-3,1.12688756E2,1.40480520E4,1.38423192E3,-5.06516791E2,-3.45249440E1,-4.14289284E1
29,1.81743888E-3,1.39800096E2,2.57439448E3,2.27894974E3,-3.24464250E2,-3.31616760E1,-2.56519652E1
30,1.88010904E-3,1.48315608E2,-7.68435432E3,3.75359464E3,-2.54567932E2,-2.32051444E1,-3.32574082E1
31,1.94277944E-3,1.29930032E2,2.38916232E3,1.13350046E3,-2.21778226E2,-2.42240404E1,-3.91748688E1
32,2.00544977E-3,1.17869520E2,1.22986328E4,-4.14578819E2,-2.49244140E2,-2.42577408E1,-4.15954018E1
33,2.06812001E-3,1.31062592E2,2.41622116E3,2.88056544E3,-2.90273760E2,-1.68263184E1,-5.02034140E1
34,2.13079023E-3,1.41248272E2,-8.36831856E3,4.42016316E3,-1.89725136E2,-1.81870808E1,-4.94180872E1
35,2.19346070E-3,1.27865338E2,5.48480464E2,4.26141692E2,-5.41033316E1,-3.13778591E1,-3.46835400E1
