step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,-1.89092288E1,4.04670763E4,-1.10785472E1,1.58006704E3,1.75478400E1,5.49449684E2
2,1.25340604E-4,-7.40875624E1,-7.53271200E3,6.48095180E1,3.74484304E2,3.06562186E1,1.23767818E1
3,1.88010920E-4,-6.46456240E1,4.08934116E4,5.33167886E1,3.02881909E3,2.24846076E1,7.96957496E2
4,2.50681208E-4,-9.64684676,5.81355480E4,-2.33679796E1,3.23804784E3,-3.32212996,9.23837280E2
5,3.13351512E-4,-8.54016876E1,1.55564416E4,7.25516128E1,9.92442896E2,7.82446240,2.70903992E2
6,3.76021840E-4,-1.56946848E2,1.26360834E4,1.83172168E2,1.43112696E3,3.86355664E1,3.69131376E2
7,4.38692140E-4,-6.02300215E1,4.06908131E4,9.31793118E1,2.67711832E3,1.83567360E1,6.94206240E2
8,5.01362419E-4,3.94683240E1,2.66231800E4,-3.53082012E1,1.28584052E3,-2.36984276E1,2.43627024E2
9,5.64032744E-4,-1.70478336E1,7.09147501E3,7.89404728,7.45732452E2,-9.73390672,9.08949947E1
10,6.26703024E-4,-1.24665462E2,2.29781222E4,9.90296456E1,2.26244712E3,2.47281624E1,5.81531048E2
11,6.89373352E-4,-4.51359224E1,2.58813072E4,1.00935674E2,1.49080096E3,1.16661549E1,3.93677880E2
12,7.52043676E-4,7.04104710E1,6.32668496E3,2.70399640E1,-7.01173830E2,-2.01033735E1,-2.71028232E2
13,8.14713955E-4,1.84502944E1,1.11398101E4,1.52170528E1,1.28774524E2,-1.00451744E1,-7.16167593E1
14,8.77384280E-4,-5.50264500E1,2.29864788E4,5.25547314E1,1.61744524E3,1.24001610E1,3.84839800E2
15,9.40054512E-4,1.27594506E1,7.77808336E3,-2.99929024E1,2.49602772E2,1.15524447E1,3.49719976E1
16,1.00272489E-3,8.32231236E1,2.00290632E3,-1.12808979E2,-5.80426120E2,-3.72966024,-2.15230441E2
17,1.06539512E-3,2.12123823E1,1.90471672E4,-5.47471760E1,1.08499599E3,1.24400592,2.21336580E2
18,1.12806547E-3,-4.65900896E1,1.45954956E4,1.10175264E1,1.25425612E3,1.51130928E1,2.93292784E2
19,1.19073570E-3,2.02575445E1,-9.07665348E2,-9.61113740E1,-4.31903172E2,1.31629718E1,-1.13502204E2
20,1.25340604E-3,8.32958126E1,1.38363564E4,-2.16928864E2,1.73981952E1,1.15095389E-1,1.97012840E1
