step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,5.38014172E3,3.92032816E4,-9.27690316E2,3.13051105E2,-5.53580712E1,1.39757524E3
2,1.25340604E-4,8.18221474E3,-6.30424738E3,-1.82781944E1,-1.57552384E2,-2.35916640E2,5.73075768E2
3,1.88010920E-4,1.10399354E4,1.12787342E4,-2.30983186E3,3.56644344E2,-8.25964070E1,1.51222276E3
4,2.50681208E-4,5.02172518E3,3.64561272E4,-3.84634944E3,7.99775792E2,1.94020984E2,1.81346568E3
5,3.13351512E-4,3.44158484E3,2.85347864E4,-2.70426392E3,4.55266048E2,1.12375712E2,1.41689064E3
6,3.76021840E-4,1.04655004E4,1.06545568E4,-1.33555020E3,1.18402672E2,-1.20386028E2,1.40267228E3
7,4.38692140E-4,1.23551870E4,1.29257870E4,-1.67956200E3,4.06813765E2,-2.20336914E1,1.48389924E3
8,5.01362419E-4,3.63653636E3,1.88315056E4,-2.36985992E3,5.39825868E2,1.44287836E2,9.13678551E2
9,5.64032744E-4,-1.09975088E3,1.22168684E4,-2.07428766E3,1.63235416E2,4.03735495E1,5.49997900E2
10,6.26703024E-4,4.70222712E3,7.39902116E3,-1.19664478E3,4.61020852E1,-8.31823254E1,9.88890360E2
11,6.89373352E-4,8.58180236E3,1.29735910E4,-4.41284800E2,3.27300764E2,-5.42125128E1,1.23732532E3
12,7.52043676E-4,6.35964920E3,1.81703504E4,-6.14989185E2,3.42673660E2,9.44554328,8.60411644E2
13,8.14713955E-4,3.08053541E3,1.11805296E4,-1.30365444E3,-4.74218320E1,1.64704884E1,2.73488328E2
14,8.77384280E-4,7.12740850E2,1.87857328E3,-1.33060204E3,-1.72433368E2,3.70145728E1,-6.15653372E1
15,9.40054512E-4,1.56161952E3,5.89185000E3,-8.22591686E2,1.74593184E2,7.76192096E1,1.95266104E2
16,1.00272489E-3,5.48267220E3,1.35455908E4,-1.13482559E3,3.85975000E2,6.23753310E1,6.92806432E2
17,1.06539512E-3,6.91620728E3,8.50662040E3,-1.98741856E3,1.13795316E2,-6.48042200,6.80432704E2
18,1.12806547E-3,2.94382616E3,6.66010092E2,-1.51472664E3,-1.60211920E2,-2.02259135E1,1.39865660E2
19,1.19073570E-3,3.32754398E1,6.55425356E3,-1.15221274E2,2.00464273E1,2.85692096E1,3.16221213
20,1.25340604E-3,3.30676890E3,1.37226580E4,-3.74822736E1,2.83051776E2,2.61833836E1,4.50525236E2
21,1.31607640E-3,6.90893320E3,5.53736972E3,-1.54541336E3,1.67681264E2,-1.17998158E1,6.67395928E2
22,1.37874664E-3,5.65604736E3,-1.34819148E3,-2.42755128E3,-1.64639460E1,-1.23604894E1,5.64585112E2
23,1.44141696E-3,3.21386576E3,8.27102376E3,-1.44837152E3,1.39344348E2,3.13460088E1,6.26939582E2
24,1.50408732E-3,2.94221304E3,1.44221412E4,-5.52883672E2,3.38993024E2,6.83593992E1,6.53938772E2
25,1.56675756E-3,4.41371296E3,3.00618339E3,-1.02133644E3,1.75217688E2,2.94829848E1,4.47279404E2
26,1.62942780E-3,5.75228456E3,-4.04721594E3,-1.58712732E3,-1.67709816E1,-2.64551760E1,4.60147428E2
27,1.69209824E-3,4.67172432E3,7.06692744E3,-1.38677084E3,1.69188488E2,6.43127108,7.58268500E2
28,1.75476848E-3,2.52057148E3,1.44372904E4,-8.77882960E2,3.52161216E2,5.32297754E1,7.92364264E2
29,1.81743888E-3,3.16118693E3,3.53322028E3,-6.33326340E2,1.32377898E2,-6.61568640,5.47596932E2
30,1.88010904E-3,4.89292240E3,-5.31805420E3,-7.78920416E2,-6.89352032E1,-6.92181536E1,4.43315028E2
31,1.94277944E-3,3.38562012E3,3.14846110E3,-8.91546152E2,1.17558122E2,4.13236427,4.60546636E2
32,2.00544977E-3,7.37655972E2,1.16815770E4,-8.46953868E2,2.94790456E2,9.32107926E1,3.79493096E2
33,2.06812001E-3,1.77420200E3,4.04921484E3,-7.23669768E2,1.08351863E2,2.99636176E1,3.02513147E2
34,2.13079023E-3,3.89424512E3,-5.30516004E3,-5.96367312E2,-7.95331336E1,-5.34853840E1,3.05320025E2
35,2.19346070E-3,2.44497848E3,1.14688134E2,-4.89821768E2,5.87899784E1,-1.40004064E1,2.82826832E2
36,2.25613094E-3,4.46683692E1,8.49928856E3,-3.58833312E2,1.93962016E2,4.06420231E1,2.12934804E2
37,2.31880140E-3,5.63780688E2,3.51150680E3,-4.04054451E2,4.32780886E1,2.26299762E1,1.12757361E2
38,2.38147140E-3,2.22874402E3,-4.28491116E3,-6.40663196E2,-9.11229515E1,-9.65267848,6.20612668E1
39,2.44414188E-3,2.27523304E3,6.00274467E2,-4.64487220E2,3.62694408E1,-1.34182156E1,1.86475768E2
40,2.50681208E-3,1.14062726E3,7.62706852E3,-7.46392536E1,1.49966264E2,-8.58189488,2.96532392E2
41,2.56948232E-3,4.15684509E2,2.16636825E3,-2.33729100E2,2.15171361E1,3.71874288,1.55344200E2
42,2.63215280E-3,6.45375968E2,-4.45316456E3,-6.10030794E2,-6.86922696E1,2.11708832E1,8.02623463
43,2.69482328E-3,1.56826400E3,1.49395432E3,-4.94025752E2,9.02550793E1,1.48184668E1,1.67345440E2
44,2.75749328E-3,2.13142467E3,8.22478390E3,-2.79006768E2,2.08045173E2,-7.77931024,3.87602232E2
